NOC,首次参加年份,首次获得奖牌年份,总参赛人次,总参赛项目数,平均每届参赛人次,平均每届参赛项目数,参加届数,标签
GRE,1896,1896,148,39,148.0,39.0,1,1
GRN,1984,2012,48,24,6.0,3.0,8,1
GUA,1932,2012,385,130,27.5,9.285714285714286,14,1
GUY,1948,1980,41,25,5.125,3.125,8,1
HAI,1900,1900,4,4,4.0,4.0,1,1
HKG,1952,1996,436,106,39.63636363636363,9.636363636363637,11,1
HUN,1896,1896,18,14,18.0,14.0,1,1
INA,1952,1988,144,59,18.0,7.375,8,1
IND,1900,1900,5,5,5.0,5.0,1,1
IOA,1992,1992,76,54,76.0,54.0,1,1
IRI,1900,1948,40,24,20.0,12.0,2,1
IRL,1924,1924,60,29,60.0,29.0,1,1
IRQ,1948,1960,41,24,20.5,12.0,2,1
ISL,1908,1956,63,28,10.5,4.666666666666667,6,1
ISR,1952,1992,321,114,32.1,11.4,10,1
ISV,1968,1988,146,62,29.2,12.4,5,1
ITA,1896,1900,37,18,18.5,9.0,2,1
JAM,1948,1948,26,14,26.0,14.0,1,1
JOR,1980,2016,80,48,8.0,4.8,10,1
JPN,1912,1920,30,16,15.0,8.0,2,1
KAZ,1996,1996,142,99,142.0,99.0,1,1
KEN,1956,1964,102,27,34.0,9.0,3,1
KGZ,1996,2000,124,74,62.0,37.0,2,1
KOR,1948,1948,48,24,48.0,24.0,1,1
KOS,2016,2016,8,8,8.0,8.0,1,1
KSA,1972,2000,162,44,23.142857142857142,6.285714285714286,7,1
KUW,1968,2000,253,56,28.11111111111111,6.222222222222222,9,1
LAT,1924,1932,84,32,28.0,10.666666666666666,3,1
LCA,1996,2024,38,25,4.75,3.125,8,1
LIB,1948,1952,18,13,9.0,6.5,2,1
LTU,1924,1992,80,41,26.666666666666668,13.666666666666666,3,1
LUX,1900,1900,1,1,1.0,1.0,1,1
MAR,1960,1960,111,45,111.0,45.0,1,1
MAS,1964,1992,272,69,38.85714285714285,9.857142857142858,7,1
MDA,1996,1996,50,41,50.0,41.0,1,1
MEX,1900,1900,3,1,3.0,1.0,1,1
MGL,1964,1968,78,34,39.0,17.0,2,1
MKD,1996,2000,31,23,15.5,11.5,2,1
MNE,2008,2012,54,13,27.0,6.5,2,1
MON,1920,1924,16,10,8.0,5.0,2,1
MOZ,1980,1996,52,33,10.4,6.6,5,1
MRI,1984,2008,122,61,17.428571428571427,8.714285714285714,7,1
NAM,1992,1992,10,9,10.0,9.0,1,1
NED,1900,1900,73,18,73.0,18.0,1,1
NGR,1952,1964,63,16,15.75,4.0,4,1
NIG,1964,1972,7,5,2.333333333333333,1.6666666666666667,3,1
NOR,1900,1900,29,9,29.0,9.0,1,1
NZL,1900,1900,1,1,1.0,1.0,1,1
PAK,1948,1956,174,54,58.0,18.0,3,1
PAN,1928,1948,4,4,2.0,2.0,2,1
PAR,1968,2004,106,49,11.77777777777778,5.444444444444445,9,1
PER,1900,1948,100,35,25.0,8.75,4,1
PHI,1924,1928,8,6,4.0,3.0,2,1
POL,1912,1924,101,39,50.5,19.5,2,1
POR,1912,1924,95,26,31.666666666666668,8.666666666666666,3,1
PRK,1972,1972,83,23,83.0,23.0,1,1
PUR,1948,1948,9,8,9.0,8.0,1,1
QAT,1984,1992,69,20,23.0,6.666666666666667,3,1
ROC,2020,2020,561,202,561.0,202.0,1,1
ROU,1900,1924,46,8,23.0,4.0,2,1
RSA,1904,1908,41,16,20.5,8.0,2,1
RUS,1900,1908,12,10,6.0,5.0,2,1
SCG,1996,1996,79,35,79.0,35.0,1,1
SEN,1964,1988,214,53,30.571428571428573,7.571428571428571,7,1
SGP,1948,1960,65,19,16.25,4.75,4,1
SLO,1992,1992,47,34,47.0,34.0,1,1
SMR,1960,2020,152,64,10.133333333333333,4.266666666666667,15,1
SRB,1912,2008,99,44,49.5,22.0,2,1
SRI,1948,1948,10,9,10.0,9.0,1,1
SUD,1960,2008,95,36,9.5,3.6,10,1
SUI,1896,1896,8,5,8.0,5.0,1,1
SUR,1968,1988,25,18,5.0,3.6,5,1
SVK,1996,1996,98,69,98.0,69.0,1,1
SWE,1896,1900,32,17,16.0,8.5,2,1
SYR,1948,1984,88,58,17.6,11.6,5,1
TAN,1964,1980,79,28,19.75,7.0,4,1
TCH,1920,1920,182,53,182.0,53.0,1,1
TGA,1984,1996,24,16,6.0,4.0,4,1
THA,1952,1976,291,70,41.57142857142857,10.0,7,1
TJK,1996,2008,37,30,9.25,7.5,4,1
TKM,1996,2020,64,48,9.142857142857142,6.857142857142857,7,1
TOG,1972,2008,45,19,5.625,2.375,8,1
TPE,1956,1960,54,26,27.0,13.0,2,1
TTO,1948,1948,9,9,9.0,9.0,1,1
TUN,1960,1964,68,27,34.0,13.5,2,1
TUR,1912,1936,134,42,26.8,8.4,5,1
UAE,1984,2004,97,30,16.166666666666668,5.0,6,1
UAR,1960,1960,123,34,123.0,34.0,1,1
UGA,1956,1968,54,25,13.5,6.25,4,1
UKR,1996,1996,351,148,351.0,148.0,1,1
URS,1952,1952,451,141,451.0,141.0,1,1
URU,1924,1924,40,11,40.0,11.0,1,1
USA,1896,1896,27,16,27.0,16.0,1,1
UZB,1996,1996,95,70,95.0,70.0,1,1
VEN,1932,1952,66,38,22.0,12.666666666666666,3,1
VIE,1980,2000,73,48,14.6,9.6,5,1
WIF,1960,1960,20,13,20.0,13.0,1,1
YUG,1920,1924,131,27,65.5,13.5,2,1
ZAM,1964,1984,95,40,19.0,8.0,5,1
ZIM,1928,1980,97,42,24.25,10.5,4,1
