NOC,总参赛人次,总参赛项目数,平均每届参赛人次,平均每届参赛项目数,参加届数,标签
GUI,103,43,7.923076923076923,3.3076923076923075,13,0
GUM,125,70,12.5,7,10,0
GUY,41,25,5.125,3.125,8,1
HAI,4,4,4,4,1,1
HKG,436,106,39.63636363636363,9.636363636363637,11,1
HON,218,71,16.76923076923077,5.461538461538462,13,0
HUN,18,14,18,14,1,1
INA,144,59,18,7.375,8,1
IND,5,5,5,5,1,1
IOA,76,54,76,54,1,1
IRI,40,24,20,12,2,1
IRL,60,29,60,29,1,1
IRQ,41,24,20.5,12,2,1
ISL,63,28,10.5,4.666666666666667,6,1
ISR,321,114,32.1,11.4,10,1
ISV,146,62,29.2,12.4,5,1
ITA,37,18,18.5,9,2,1
IVB,49,23,4.454545454545454,2.090909090909091,11,0
JAM,26,14,26,14,1,1
JOR,80,48,8,4.8,10,1
JPN,30,16,15,8,2,1
KAZ,142,99,142,99,1,1
KEN,102,27,34,9,3,1
KGZ,124,74,62,37,2,1
KIR,17,10,2.833333333333333,1.6666666666666667,6,0
KOR,48,24,48,24,1,1
KOS,8,8,8,8,1,1
KSA,162,44,23.142857142857142,6.285714285714286,7,1
KUW,253,56,28.11111111111111,6.222222222222222,9,1
LAO,62,31,5.636363636363637,2.8181818181818183,11,0
LAT,84,32,28,10.666666666666666,3,1
LBA,94,51,7.833333333333333,4.25,12,0
LBR,88,26,6.285714285714286,1.8571428571428568,14,0
LCA,38,25,4.75,3.125,8,1
LES,71,27,5.461538461538462,2.076923076923077,13,0
LIB,18,13,9,6.5,2,1
LIE,103,53,5.421052631578948,2.789473684210526,19,0
LTU,80,41,26.666666666666668,13.666666666666666,3,1
LUX,1,1,1,1,1,1
MAD,130,65,9.285714285714286,4.642857142857143,14,0
MAR,111,45,111,45,1,1
MAS,272,69,38.85714285714285,9.857142857142858,7,1
MAW,95,37,7.916666666666667,3.083333333333333,12,0
MDA,50,41,50,41,1,1
MDV,58,23,5.8,2.3,10,0
MEX,3,1,3,1,1,1
MGL,78,34,39,17,2,1
MHL,20,13,4,2.6,5,0
MKD,31,23,15.5,11.5,2,1
MLI,120,43,8,2.8666666666666667,15,0
MLT,129,52,7.166666666666667,2.888888888888889,18,0
MNE,54,13,27,6.5,2,1
MON,16,10,8,5,2,1
MOZ,52,33,10.4,6.6,5,1
MRI,122,61,17.428571428571427,8.714285714285714,7,1
MTN,33,18,3,1.6363636363636365,11,0
MYA,115,54,6.052631578947368,2.8421052631578947,19,0
NAM,10,9,10,9,1,1
NCA,144,79,10.285714285714286,5.642857142857143,14,0
NED,73,18,73,18,1,1
NEP,100,50,6.666666666666667,3.333333333333333,15,0
NGR,63,16,15.75,4,4,1
NIG,7,5,2.333333333333333,1.6666666666666667,3,1
NOR,29,9,29,9,1,1
NRU,16,11,2,1.375,8,0
NZL,1,1,1,1,1,1
OMA,75,30,6.818181818181818,2.727272727272727,11,0
PAK,174,54,58,18,3,1
PAN,4,4,2,2,2,1
PAR,106,49,11.77777777777778,5.444444444444445,9,1
PER,100,35,25,8.75,4,1
PHI,8,6,4,3,2,1
PLE,34,29,4.25,3.625,8,0
PLW,31,18,4.428571428571429,2.571428571428572,7,0
PNG,123,61,10.25,5.083333333333333,12,0
POL,101,39,50.5,19.5,2,1
POR,95,26,31.666666666666668,8.666666666666666,3,1
PRK,83,23,83,23,1,1
PUR,9,8,9,8,1,1
QAT,69,20,23,6.666666666666667,3,1
ROC,561,202,561,202,1,1
ROU,46,8,23,4,2,1
RSA,41,16,20.5,8,2,1
RUS,12,10,6,5,2,1
RWA,69,30,6.2727272727272725,2.727272727272727,11,0
SAM,100,61,9.090909090909092,5.545454545454546,11,0
SCG,79,35,79,35,1,1
SEN,214,53,30.571428571428573,7.571428571428571,7,1
SEY,120,66,10.909090909090908,6,11,0
SGP,65,19,16.25,4.75,4,1
SKN,47,11,5.875,1.375,8,0
SLE,122,40,9.384615384615383,3.076923076923077,13,0
SLO,47,34,47,34,1,1
SMR,152,64,10.133333333333333,4.266666666666667,15,1
SOL,32,21,2.909090909090909,1.9090909090909087,11,0
SOM,35,13,3.1818181818181817,1.181818181818182,11,0
SRB,99,44,49.5,22,2,1
SRI,10,9,10,9,1,1
SSD,19,8,6.333333333333333,2.6666666666666665,3,0
STP,23,18,2.875,2.25,8,0
SUD,95,36,9.5,3.6,10,1
SUI,8,5,8,5,1,1
SUR,25,18,5,3.6,5,1
SVK,98,69,98,69,1,1
SWE,32,17,16,8.5,2,1
SWZ,71,40,5.916666666666667,3.333333333333333,12,0
SYR,88,58,17.6,11.6,5,1
TAN,79,28,19.75,7,4,1
TCH,182,53,182,53,1,1
TGA,24,16,6,4,4,1
THA,291,70,41.57142857142857,10,7,1
TJK,37,30,9.25,7.5,4,1
TKM,64,48,9.142857142857142,6.857142857142857,7,1
TLS,15,10,2.5,1.6666666666666667,6,0
TOG,45,19,5.625,2.375,8,1
TPE,54,26,27,13,2,1
TTO,9,9,9,9,1,1
TUN,68,27,34,13.5,2,1
TUR,134,42,26.8,8.4,5,1
TUV,11,6,2.2,1.2,5,0
UAE,97,30,16.166666666666668,5,6,1
UAR,123,34,123,34,1,1
UGA,54,25,13.5,6.25,4,1
UKR,351,148,351,148,1,1
URS,451,141,451,141,1,1
URU,40,11,40,11,1,1
USA,27,16,27,16,1,1
UZB,95,70,95,70,1,1
VAN,44,27,4.4,2.7,10,0
VEN,66,38,22,12.666666666666666,3,1
VIE,73,48,14.6,9.6,5,1
VIN,49,20,4.9,2,10,0
VNM,62,24,10.333333333333334,4,6,0
WIF,20,13,20,13,1,1
YEM,42,29,4.666666666666667,3.2222222222222223,9,0
YUG,131,27,65.5,13.5,2,1
ZAM,95,40,19,8,5,1
ZIM,97,42,24.25,10.5,4,1
