NOC,首次参加年份,首次获得奖牌年份,总参赛人次,总参赛项目数,平均每届参赛人次,平均每届参赛项目数,参加届数
ISL,1908,1956,63,28,10.5,4.666666666666667,6
ISR,1952,1992,321,114,32.1,11.4,10
ISV,1968,1988,146,62,29.2,12.4,5
ITA,1896,1900,37,18,18.5,9,2
JAM,1948,1948,26,14,26,14,1
JOR,1980,2016,80,48,8,4.8,10
JPN,1912,1920,30,16,15,8,2
KAZ,1996,1996,142,99,142,99,1
KEN,1956,1964,102,27,34,9,3
KGZ,1996,2000,124,74,62,37,2
KOR,1948,1948,48,24,48,24,1
KOS,2016,2016,8,8,8,8,1
KSA,1972,2000,162,44,23.142857142857142,6.285714285714286,7
KUW,1968,2000,253,56,28.11111111111111,6.222222222222222,9
LAT,1924,1932,84,32,28,10.666666666666666,3
LCA,1996,2024,38,25,4.75,3.125,8
LIB,1948,1952,18,13,9,6.5,2
LTU,1924,1992,80,41,26.666666666666668,13.666666666666666,3
LUX,1900,1900,1,1,1,1,1
MAR,1960,1960,111,45,111,45,1
MAS,1964,1992,272,69,38.857142857142854,9.857142857142858,7
MDA,1996,1996,50,41,50,41,1
MEX,1900,1900,3,1,3,1,1
MGL,1964,1968,78,34,39,17,2
MKD,1996,2000,31,23,15.5,11.5,2
MNE,2008,2012,54,13,27,6.5,2
MON,1920,1924,16,10,8,5,2
MOZ,1980,1996,52,33,10.4,6.6,5
MRI,1984,2008,122,61,17.428571428571427,8.714285714285714,7
NAM,1992,1992,10,9,10,9,1
NED,1900,1900,73,18,73,18,1
NGR,1952,1964,63,16,15.75,4,4
NIG,1964,1972,7,5,2.3333333333333335,1.6666666666666667,3
NOR,1900,1900,29,9,29,9,1
NZL,1900,1900,1,1,1,1,1
PAK,1948,1956,174,54,58,18,3
PAN,1928,1948,4,4,2,2,2
PAR,1968,2004,106,49,11.777777777777779,5.444444444444445,9
PER,1900,1948,100,35,25,8.75,4
PHI,1924,1928,8,6,4,3,2
POL,1912,1924,101,39,50.5,19.5,2
POR,1912,1924,95,26,31.666666666666668,8.666666666666666,3
PRK,1972,1972,83,23,83,23,1
PUR,1948,1948,9,8,9,8,1
QAT,1984,1992,69,20,23,6.666666666666667,3
ROC,2020,2020,561,202,561,202,1
ROU,1900,1924,46,8,23,4,2
RSA,1904,1908,41,16,20.5,8,2
RUS,1900,1908,12,10,6,5,2
SCG,1996,1996,79,35,79,35,1
SEN,1964,1988,214,53,30.571428571428573,7.571428571428571,7
SGP,1948,1960,65,19,16.25,4.75,4
SLO,1992,1992,47,34,47,34,1
SMR,1960,2020,152,64,10.133333333333333,4.266666666666667,15
SRB,1912,2008,99,44,49.5,22,2
SRI,1948,1948,10,9,10,9,1
SUD,1960,2008,95,36,9.5,3.6,10
SUI,1896,1896,8,5,8,5,1
SUR,1968,1988,25,18,5,3.6,5
SVK,1996,1996,98,69,98,69,1
SWE,1896,1900,32,17,16,8.5,2
SYR,1948,1984,88,58,17.6,11.6,5
TAN,1964,1980,79,28,19.75,7,4
TCH,1920,1920,182,53,182,53,1
TGA,1984,1996,24,16,6,4,4
THA,1952,1976,291,70,41.57142857142857,10,7
TJK,1996,2008,37,30,9.25,7.5,4
TKM,1996,2020,64,48,9.142857142857142,6.857142857142857,7
TOG,1972,2008,45,19,5.625,2.375,8
TPE,1956,1960,54,26,27,13,2
TTO,1948,1948,9,9,9,9,1
TUN,1960,1964,68,27,34,13.5,2
TUR,1912,1936,134,42,26.8,8.4,5
UAE,1984,2004,97,30,16.166666666666668,5,6
UAR,1960,1960,123,34,123,34,1
UGA,1956,1968,54,25,13.5,6.25,4
UKR,1996,1996,351,148,351,148,1
URS,1952,1952,451,141,451,141,1
URU,1924,1924,40,11,40,11,1
USA,1896,1896,27,16,27,16,1
UZB,1996,1996,95,70,95,70,1
VEN,1932,1952,66,38,22,12.666666666666666,3
VIE,1980,2000,73,48,14.6,9.6,5
WIF,1960,1960,20,13,20,13,1
YUG,1920,1924,131,27,65.5,13.5,2
ZAM,1964,1984,95,40,19,8,5
ZIM,1928,1980,97,42,24.25,10.5,4
