NOC,Obs_Years,lag1_coeff,lag1_pvalue,lag2_coeff,lag2_pvalue,lag3_coeff,lag3_pvalue
Colombia,8.0,1.4849363364686825,0.054399089177879174,-1.3537861372344373,0.07901847632463965,1.076244483216264,0.02497810956798321
Croatia,6.0,0.534783003042977,0.8695052761994335,-0.6571428996753981,0.6637086568882142,1.7506825725911448,0.7746440720383566
Cuba,14.0,1.1508925713639369,0.02421803680570613,-0.1264917198633584,0.8813819493461139,-0.3993966384814992,0.3824318683940475
Czech Republic,5.0,-0.0340714608097786,0.9809950625255335,0.993248221971498,0.21075708153207506,0.03254900654494895,0.9820011533844665
Czechoslovakia,13.0,0.7498212822392027,0.0021711334604026635,-0.3672451294666258,0.3798699876013114,0.5625312947288601,0.13978658942263883
Denmark,26.0,1.1215174873682003,0.029146665835748015,-0.5937771113720443,0.36577746496304164,0.3953657986577092,0.16072543661008198
Dominican Republic,4.0,-0.01958229306917873,0.959339105651201,0.24433610989602425,0.45902762363589233,0.9423477679415624,4.020264497419926e-06
East Germany,2.0,2.1663337232816247,0.0,-0.12795974284870118,0.0,-2.5926110432667757,0.0
Egypt,9.0,-0.11362302740797994,0.5863134244895185,0.17030779720196845,0.5456334847901217,-0.19578093981136135,0.03547600548149177
Estonia,8.0,0.8805988162257887,2.47096581108417e-07,-0.5679108055863837,0.0004480640133762664,0.29837845459897094,1.489571852488125e-09
Ethiopia,11.0,0.5018330738173573,0.33162668026182585,0.3779943277739242,0.41227340493223363,0.06522151243705984,0.8950965088861732
Finland,23.0,0.6876375736369613,8.925284906712118e-09,0.4534126943942282,4.228207503496354e-05,-0.30496103976202543,6.232915064372084e-11
France,27.0,-0.0737103671079194,0.7702112410773619,-0.057949305553060215,0.37229325182479533,-0.09304949693358809,0.06314022066480925
Georgia,5.0,0.8277499231199673,0.22875128415709423,0.03019478386732425,0.9744394685949321,0.2621354899999119,0.7430534104691771
Germany,15.0,0.037464236304567196,0.9229455619750935,0.5450850040628402,0.03366665513847527,0.29411635844533485,0.6143186936934788
Ghana,2.0,0.22410605683430038,0.0,0.3505025963036382,0.0,0.03997123083172681,4.1024099733504056e-54
Great Britain,27.0,-0.6192035955249241,5.68775625064024e-10,-0.31880805739491663,0.00016417475540260652,-0.09741821031991438,0.1975762382350036
Greece,18.0,0.6484423836552403,0.05361062858937785,-0.31648541562627125,0.4383501304451487,-0.0056978367673552665,0.9845475947554132
Hong Kong,2.0,0.2745439723540624,0.0,1.1352521030225144,0.0,1.8655818389205285,0.0
Hungary,25.0,0.81822948682144,4.127943420523105e-06,-0.1529810722744555,0.6023947530990852,0.2988692415251554,0.1981350687947684
India,17.0,0.35405386816753764,0.15282865057015826,0.37417649279949866,0.2815424286784056,0.17564390529475601,0.6503632310181677
Indonesia,7.0,0.3255258217314895,0.9070334276229087,0.6799032565251865,0.6558629049948012,-0.1136366658769666,0.9355827286736633
Iran,15.0,0.2382951666397128,0.770771120566945,0.22961073847542804,0.7339332985175728,0.43987502198278844,0.4066782458566486
Ireland,12.0,0.04377097709608935,0.9164506960813819,0.49273239971198296,0.033718263051828005,0.3612402530977462,0.34316148734956975
Israel,5.0,1.2997356743902886,0.7096616612241842,0.004732473582725464,0.9997279546133436,0.856536644549932,0.7951895017350454
Italy,25.0,-0.2846472832421243,0.08590858808482148,0.0058038362046109356,0.97527055754522,0.5177075475358646,0.00109187996852694
Jamaica,14.0,0.855338332575038,0.2372461177321864,-0.21296138774296566,0.7770992425257561,0.019865870098395084,0.9634746103428264
Japan,20.0,0.30895433027884234,0.37486811273728426,0.07679370698333819,0.7647831047300817,-0.20519968053212467,0.3231314900475243
Kazakhstan,5.0,-0.38340672031719797,0.14046591665088146,-1.706473646216066,7.265236450658993e-05,-0.23989539222598452,0.5641625640592238
Kenya,11.0,-0.20869328365097192,0.740297075128949,-0.05983973322740552,0.863415809200643,0.14325448775990798,0.7183089633919415
Latvia,6.0,0.795054125886066,0.4577780750084436,-0.541901339950833,0.6888593379914967,0.6611130558850709,0.28972907484774335
Lithuania,6.0,0.669766287272552,0.17156572632011324,0.05219648370791587,0.9120618584903939,0.15584966654931157,0.5654890669218386
Malaysia,4.0,-0.13200238163953415,0.8431211509317713,-0.7382242109345797,0.006383417227198451,3.1606092664713894,2.555099250874259e-265
Mexico,19.0,-0.36453766792852954,0.48170084539379787,-0.3370170911228466,0.3795387098344082,-0.2678298534962471,0.37131743174746956
Moldova,2.0,0.5645416629419083,0.0,-2.1467387968678144,0.0,2.0430609910009547,0.0
Mongolia,10.0,0.3565432061199227,0.4431921388699994,0.0409097689865582,0.9813724780122218,0.3805846293032302,0.4585814125023555
Morocco,9.0,0.5727353640014629,0.11317959756239568,-0.04840799343361438,0.8880895451323445,0.2653700766128035,0.3938654737088172
Netherlands,24.0,0.32602722663772005,0.12251151861504168,0.18250491208567474,0.4429751288731594,-0.1394504064973418,0.5354395350375526
New Zealand,20.0,0.9915134040469739,2.3339918962437806e-06,-0.0388684863485989,0.9166551165090161,0.09781265125040622,0.750195347174285
Nigeria,7.0,0.588066290734749,0.2319857063319647,0.09084433193276288,0.8787258542580959,0.14166638559404346,0.7874845398069105
North Korea,8.0,1.0031928218117059,0.009883768675218159,-0.7719018225103474,0.21436921535814724,0.7010358468880156,0.0639428984950628
Norway,23.0,0.7366125649821212,0.01252641200618919,0.2686873949136071,0.5273041758251371,-0.306036013421275,0.10869313277907677
Pakistan,7.0,-0.44496238340238653,0.5271866216404681,0.428995127110449,0.11033015558500646,0.5562583491033987,0.11273576796103149
Peru,2.0,-0.004888191016281407,0.0,-0.010995026630096605,0.0,0.35049576513695185,0.0
Philippines,7.0,1.1256214406386158,0.5386519451229985,0.4137742405701344,0.6695430979561594,-0.400227502202691,0.6209926743736276
Poland,20.0,0.9607810729301063,9.59297745311622e-05,-0.3344501183741334,0.5064729432395808,0.2987884014607672,0.5055523141510639
Portugal,14.0,0.5025173072209059,0.0482470683210246,0.06258057795671867,0.8795675357045045,0.44241082775441315,0.19163755472878763
Puerto Rico,6.0,0.33344901749830713,0.23111877490842836,0.07793990820327235,0.8731467888799918,0.4517544679570538,0.25031630574924235
Qatar,3.0,1.7202400889801144,0.0,2.662275765399336,0.0,-5.027235614801304,0.0
Romania,18.0,1.3813800692809182,0.0017601077014186247,-0.32482877624611434,0.5427353028489614,-0.08737718289966023,0.7887759201064943
Russia,3.0,0.18584899861450954,,0.1591579752724268,0.0,0.38531058523152506,0.0
Serbia,2.0,0.9804610614971716,0.0,-0.1936689827609818,0.0,0.025679770717682928,0.0
Singapore,2.0,-0.293124393999091,0.0,0.05251727434429411,0.0,0.8424693836579851,0.0
Slovakia,5.0,0.23615018520421968,0.8591639905517809,0.2841722668775048,0.8164467540365701,0.23344598885246573,0.9166313460053918
Slovenia,6.0,-0.24357191918971527,0.5455482957690336,0.7228235550215187,0.16178221344834165,0.8267766875151928,0.22132860998309634
South Africa,17.0,0.09707647503456898,0.7424880940999439,-0.14002043812390363,0.5924564015365248,0.20837128955341547,0.328821818583813
South Korea,15.0,1.2995393970745648,1.2426595168493077e-06,-0.9673124708343013,0.002448270362471717,0.46093807645141294,0.05073104880465832
Soviet Union,6.0,0.19355685452282054,0.9860954928139629,-1.669174181226343,0.5828532866878651,-0.9415985393025825,0.9293004103466748
Spain,18.0,0.5238299156445192,0.5776699297626327,-0.0343103157317779,0.9800007862610203,0.5160433659553574,0.5511298973247256
Sweden,25.0,0.6783017127246812,0.46446647260122054,-0.15719948275075762,0.7995055779688709,0.22008539376870212,0.23919737424477527
Switzerland,25.0,0.6450477786627976,1.822266184677388e-09,-0.42643871594152727,0.000450738269989765,0.6702635953591312,2.4842871281791352e-11
Thailand,9.0,0.7542948315112715,0.7764510440033128,0.11265980455602721,0.9798909495852026,-0.4422461302413444,0.8618185555320649
Trinidad and Tobago,7.0,0.4855083785652697,0.24183266282435156,-0.3260020040709748,0.6448934142904568,0.5711146353944819,0.331824159795305
Tunisia,6.0,0.6548297174580077,0.2238056298028691,-0.22690086760638195,0.6242197979812589,0.501545173104222,0.46470275111609427
Turkey,16.0,0.34824583851143825,0.09724271196864452,0.07187214126182223,0.6041158622094364,0.3906703826516376,2.4433360609562215e-05
Uganda,4.0,0.9527588997672349,0.020857057589383943,-0.8244582982507088,6.498325958996597e-07,0.7698241841886606,0.025479580731320096
Ukraine,5.0,1.0553135286677475,0.19088839249078693,-0.8115122338816395,0.6242655124237246,0.5569478482157542,0.5371522566200515
United States,26.0,-0.18635704068900238,0.3855188158541272,-0.09878765140246329,0.47652579279053875,-0.055369967490468554,0.5610182658519058
Uruguay,5.0,-0.07648627179747855,0.8515052384037461,0.32163083905951473,0.3805183473573168,0.38310315153027497,0.2847489899791039
Uzbekistan,5.0,0.029466549259328317,0.980960087634121,0.8858545965068945,0.25253921637348464,0.9597671153808729,0.18717376820193554
Venezuela,8.0,0.9821206523825889,0.015560163559833287,-0.09936817517811404,0.8173839489002145,0.18882609597689032,0.8241094379419914
West Germany,2.0,-0.3951398742913508,0.0,1.9320562883167978,0.0,-0.44257035130453926,0.0
Yugoslavia,11.0,0.8536948512480098,0.2403307921363066,-0.12944360709178726,0.9091934062389574,0.5150686321152746,0.38460029933210815
