Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score,Score_Rate,lag1_coeff,lag2_coeff,lag3_coeff
1,United States,76,78,77,231,1904,461,1,566,0.8144876325088339,-0.018635704,-0.009878765,-0.005536997
2,Germany,4,5,6,15,1904,28,0,566,0.0494699646643109,0.0037464236304567,0.054508500406284,0.0294116358445334
3,Canada,4,1,1,6,1904,15,0,566,0.0265017667844522,0.0147731501056603,-0.004054787,0.0028425278416601
4,Cuba,3,0,0,3,1904,9,0,566,0.0159010600706713,0.1150892571363936,-0.012649172,-0.039939664
5,Hungary,2,1,1,4,1904,9,0,566,0.0159010600706713,0.081822948682144,-0.015298107,0.0298869241525155
5,Mixed team,2,1,1,4,1904,9,0,566,0.0159010600706713,0.0,0.0,0.0
7,Norway,2,0,0,2,1904,6,0,566,0.0106007067137809,0.0736612564982121,0.0268687394913607,-0.030603601
8,Austria,1,1,1,3,1904,6,0,566,0.0106007067137809,0.1426373113008584,-0.072329556,0.0240571260583699
9,Great Britain,1,1,0,2,1904,5,0,566,0.0088339222614841,-0.06192036,-0.031880806,-0.009741821
10,Switzerland,1,0,2,3,1904,5,0,566,0.0088339222614841,0.0645047778662797,-0.042643872,0.0670263595359131
11,Greece,1,0,1,2,1904,4,0,566,0.0070671378091872,0.064844238365524,-0.031648542,-0.000569784
12,Australia,0,3,1,4,1904,7,0,566,0.0123674911660777,0.0593783761803394,0.0105979239956092,-0.017491077
13,France,0,1,0,1,1904,2,0,566,0.0035335689045936,-0.007371037,-0.005794931,-0.00930495
1,Great Britain,56,51,39,146,1908,309,1,651,0.4746543778801843,-0.06192036,-0.031880806,-0.009741821
2,United States,23,12,12,47,1908,105,0,651,0.1612903225806451,-0.018635704,-0.009878765,-0.005536997
3,Sweden,8,6,11,25,1908,47,0,651,0.0721966205837173,0.0678301712724681,-0.015719948,0.0220085393768702
4,France,5,5,9,19,1908,34,0,651,0.0522273425499231,-0.007371037,-0.005794931,-0.00930495
5,Germany,3,5,5,13,1908,24,0,651,0.0368663594470046,0.0037464236304567,0.054508500406284,0.0294116358445334
6,Hungary,3,4,2,9,1908,19,0,651,0.0291858678955453,0.081822948682144,-0.015298107,0.0298869241525155
7,Canada,3,3,10,16,1908,25,0,651,0.0384024577572964,0.0147731501056603,-0.004054787,0.0028425278416601
8,Norway,2,3,3,8,1908,15,0,651,0.0230414746543778,0.0736612564982121,0.0268687394913607,-0.030603601
9,Italy,2,2,0,4,1908,10,0,651,0.0153609831029185,-0.028464728,0.000580383620461,0.0517707547535864
10,Belgium,1,5,2,8,1908,15,0,651,0.0230414746543778,0.0999535450525768,-0.072116842,0.0394756734574606
11,Australasia,1,2,2,5,1908,9,0,651,0.0138248847926267,0.0,0.0,0.0
12,Russian Empire,1,2,0,3,1908,7,0,651,0.010752688172043,0.0,0.0,0.0
13,Finland,1,1,3,5,1908,8,0,651,0.0122887864823348,0.0687637573636961,0.0453412694394228,-0.030496104
14,South Africa,1,1,0,2,1908,5,0,651,0.0076804915514592,0.0097076475034568,-0.014002044,0.0208371289553415
15,Greece,0,3,1,4,1908,7,0,651,0.010752688172043,0.064844238365524,-0.031648542,-0.000569784
16,Denmark,0,2,3,5,1908,7,0,651,0.010752688172043,0.11215174873682,-0.059377711,0.0395365798657709
17,Bohemia,0,0,2,2,1908,2,0,651,0.0030721966205837,0.0,0.0,0.0
17,Netherlands,0,0,2,2,1908,2,0,651,0.0030721966205837,0.0326027226637719,0.0182504912085674,-0.013945041
19,Austria,0,0,1,1,1908,1,0,651,0.0015360983102918,0.1426373113008584,-0.072329556,0.0240571260583699
1,United States,26,19,19,64,1912,135,0,622,0.2170418006430868,-0.018635704,-0.009878765,-0.005536997
2,Sweden,23,25,17,65,1912,136,1,622,0.2186495176848874,0.0678301712724681,-0.015719948,0.0220085393768702
3,Great Britain,10,15,16,41,1912,76,0,622,0.1221864951768488,-0.06192036,-0.031880806,-0.009741821
4,Finland,9,8,9,26,1912,52,0,622,0.0836012861736334,0.0687637573636961,0.0453412694394228,-0.030496104
5,France,7,4,3,14,1912,32,0,622,0.0514469453376205,-0.007371037,-0.005794931,-0.00930495
6,Germany,5,13,7,25,1912,48,0,622,0.0771704180064308,0.0037464236304567,0.054508500406284,0.0294116358445334
7,South Africa,4,2,0,6,1912,16,0,622,0.0257234726688102,0.0097076475034568,-0.014002044,0.0208371289553415
8,Norway,3,2,5,10,1912,18,0,622,0.0289389067524115,0.0736612564982121,0.0268687394913607,-0.030603601
9,Canada,3,2,3,8,1912,16,0,622,0.0257234726688102,0.0147731501056603,-0.004054787,0.0028425278416601
9,Hungary,3,2,3,8,1912,16,0,622,0.0257234726688102,0.081822948682144,-0.015298107,0.0298869241525155
11,Italy,3,1,2,6,1912,13,0,622,0.0209003215434083,-0.028464728,0.000580383620461,0.0517707547535864
12,Australasia,2,2,3,7,1912,13,0,622,0.0209003215434083,0.0,0.0,0.0
13,Belgium,2,1,3,6,1912,11,0,622,0.017684887459807,0.0999535450525768,-0.072116842,0.0394756734574606
14,Denmark,1,6,5,12,1912,20,0,622,0.0321543408360128,0.11215174873682,-0.059377711,0.0395365798657709
15,Greece,1,0,1,2,1912,4,0,622,0.0064308681672025,0.064844238365524,-0.031648542,-0.000569784
16,Russian Empire,0,2,3,5,1912,7,0,622,0.0112540192926045,0.0,0.0,0.0
17,Austria,0,2,2,4,1912,6,0,622,0.0096463022508038,0.1426373113008584,-0.072329556,0.0240571260583699
18,Netherlands,0,0,3,3,1912,3,0,622,0.0048231511254019,0.0326027226637719,0.0182504912085674,-0.013945041
1,United States,41,27,27,95,1920,204,0,895,0.2279329608938547,-0.018635704,-0.009878765,-0.005536997
2,Sweden,19,20,25,64,1920,122,0,895,0.1363128491620111,0.0678301712724681,-0.015719948,0.0220085393768702
3,Finland,15,10,9,34,1920,74,0,895,0.08268156424581,0.0687637573636961,0.0453412694394228,-0.030496104
4,Great Britain,14,15,13,42,1920,85,0,895,0.0949720670391061,-0.06192036,-0.031880806,-0.009741821
5,Belgium,14,11,11,36,1920,75,1,895,0.0837988826815642,0.0999535450525768,-0.072116842,0.0394756734574606
6,Norway,13,9,9,31,1920,66,0,895,0.0737430167597765,0.0736612564982121,0.0268687394913607,-0.030603601
7,Italy,13,5,5,23,1920,54,0,895,0.0603351955307262,-0.028464728,0.000580383620461,0.0517707547535864
8,France,9,19,13,41,1920,78,0,895,0.0871508379888268,-0.007371037,-0.005794931,-0.00930495
9,Netherlands,4,2,5,11,1920,21,0,895,0.0234636871508379,0.0326027226637719,0.0182504912085674,-0.013945041
10,Denmark,3,9,1,13,1920,28,0,895,0.0312849162011173,0.11215174873682,-0.059377711,0.0395365798657709
11,South Africa,3,4,3,10,1920,20,0,895,0.0223463687150838,0.0097076475034568,-0.014002044,0.0208371289553415
12,Canada,3,3,3,9,1920,18,0,895,0.0201117318435754,0.0147731501056603,-0.004054787,0.0028425278416601
13,Switzerland,2,2,7,11,1920,17,0,895,0.0189944134078212,0.0645047778662797,-0.042643872,0.0670263595359131
14,Estonia,1,2,0,3,1920,7,0,895,0.0078212290502793,0.0880598816225788,-0.056791081,0.029837845459897
15,Brazil,1,1,1,3,1920,6,0,895,0.0067039106145251,0.0474667852272042,0.0131828339023468,0.0570026670928254
16,Australia,0,2,1,3,1920,5,0,895,0.0055865921787709,0.0593783761803394,0.0105979239956092,-0.017491077
17,Japan,0,2,0,2,1920,4,0,895,0.0044692737430167,0.0308954330278842,0.0076793706983338,-0.020519968
17,Spain,0,2,0,2,1920,4,0,895,0.0044692737430167,0.0523829915644519,-0.003431032,0.0516043365955357
19,Greece,0,1,0,1,1920,2,0,895,0.0022346368715083,0.064844238365524,-0.031648542,-0.000569784
19,Luxembourg,0,1,0,1,1920,2,0,895,0.0022346368715083,0.0,0.0,0.0
21,Czechoslovakia,0,0,2,2,1920,2,0,895,0.0022346368715083,0.0749821282239202,-0.036724513,0.056253129472886
22,New Zealand,0,0,1,1,1920,1,0,895,0.0011173184357541,0.0991513404046973,-0.003886849,0.0097812651250406
1,United States,45,27,27,99,1924,216,0,757,0.285336856010568,-0.018635704,-0.009878765,-0.005536997
2,Finland,14,13,10,37,1924,78,0,757,0.1030383091149273,0.0687637573636961,0.0453412694394228,-0.030496104
3,France,13,15,10,38,1924,79,1,757,0.1043593130779392,-0.007371037,-0.005794931,-0.00930495
4,Great Britain,9,13,12,34,1924,65,0,757,0.0858652575957727,-0.06192036,-0.031880806,-0.009741821
5,Italy,8,3,5,16,1924,35,0,757,0.0462351387054161,-0.028464728,0.000580383620461,0.0517707547535864
6,Switzerland,7,8,10,25,1924,47,0,757,0.0620871862615587,0.0645047778662797,-0.042643872,0.0670263595359131
7,Norway,5,2,3,10,1924,22,0,757,0.0290620871862615,0.0736612564982121,0.0268687394913607,-0.030603601
8,Sweden,4,13,12,29,1924,50,0,757,0.0660501981505944,0.0678301712724681,-0.015719948,0.0220085393768702
9,Netherlands,4,1,5,10,1924,19,0,757,0.0250990752972258,0.0326027226637719,0.0182504912085674,-0.013945041
10,Belgium,3,7,3,13,1924,26,0,757,0.0343461030383091,0.0999535450525768,-0.072116842,0.0394756734574606
11,Australia,3,1,2,6,1924,13,0,757,0.0171730515191545,0.0593783761803394,0.0105979239956092,-0.017491077
12,Denmark,2,5,2,9,1924,18,0,757,0.023778071334214,0.11215174873682,-0.059377711,0.0395365798657709
13,Hungary,2,3,4,9,1924,16,0,757,0.0211360634081902,0.081822948682144,-0.015298107,0.0298869241525155
14,Yugoslavia,2,0,0,2,1924,6,0,757,0.0079260237780713,0.0853694851248009,-0.012944361,0.0515068632115274
15,Czechoslovakia,1,4,5,10,1924,16,0,757,0.0211360634081902,0.0749821282239202,-0.036724513,0.056253129472886
16,Argentina,1,3,2,6,1924,11,0,757,0.0145310435931307,0.0377932089641432,-0.009101754,0.0501999133209208
17,Estonia,1,1,4,6,1924,9,0,757,0.011889035667107,0.0880598816225788,-0.056791081,0.029837845459897
18,South Africa,1,1,1,3,1924,6,0,757,0.0079260237780713,0.0097076475034568,-0.014002044,0.0208371289553415
19,Uruguay,1,0,0,1,1924,3,0,757,0.0039630118890356,-0.007648627,0.0321630839059514,0.0383103151530274
20,Austria,0,3,1,4,1924,7,0,757,0.0092470277410832,0.1426373113008584,-0.072329556,0.0240571260583699
20,Canada,0,3,1,4,1924,7,0,757,0.0092470277410832,0.0147731501056603,-0.004054787,0.0028425278416601
22,Poland,0,1,1,2,1924,3,0,757,0.0039630118890356,0.0960781072930106,-0.033445012,0.0298788401460767
23,Haiti,0,0,1,1,1924,1,0,757,0.0013210039630118,0.0,0.0,0.0
23,Japan,0,0,1,1,1924,1,0,757,0.0013210039630118,0.0308954330278842,0.0076793706983338,-0.020519968
23,New Zealand,0,0,1,1,1924,1,0,757,0.0013210039630118,0.0991513404046973,-0.003886849,0.0097812651250406
23,Portugal,0,0,1,1,1924,1,0,757,0.0013210039630118,0.0502517307220905,0.0062580577956718,0.0442410827754413
23,Romania,0,0,1,1,1924,1,0,757,0.0013210039630118,0.1381380069280918,-0.032482878,-0.008737718
1,United States,22,18,16,56,1928,118,0,655,0.1801526717557252,-0.018635704,-0.009878765,-0.005536997
2,Germany,10,7,14,31,1928,58,0,655,0.0885496183206106,0.0037464236304567,0.054508500406284,0.0294116358445334
3,Finland,8,8,9,25,1928,49,0,655,0.0748091603053435,0.0687637573636961,0.0453412694394228,-0.030496104
4,Sweden,7,6,12,25,1928,45,0,655,0.0687022900763358,0.0678301712724681,-0.015719948,0.0220085393768702
5,Italy,7,5,7,19,1928,38,0,655,0.0580152671755725,-0.028464728,0.000580383620461,0.0517707547535864
6,Switzerland,7,4,4,15,1928,33,0,655,0.0503816793893129,0.0645047778662797,-0.042643872,0.0670263595359131
7,France,6,10,5,21,1928,43,0,655,0.065648854961832,-0.007371037,-0.005794931,-0.00930495
8,Netherlands,6,9,4,19,1928,40,1,655,0.0610687022900763,0.0326027226637719,0.0182504912085674,-0.013945041
9,Hungary,4,5,0,9,1928,22,0,655,0.0335877862595419,0.081822948682144,-0.015298107,0.0298869241525155
10,Canada,4,4,7,15,1928,27,0,655,0.0412213740458015,0.0147731501056603,-0.004054787,0.0028425278416601
11,Great Britain,3,10,7,20,1928,36,0,655,0.0549618320610687,-0.06192036,-0.031880806,-0.009741821
12,Argentina,3,3,1,7,1928,16,0,655,0.0244274809160305,0.0377932089641432,-0.009101754,0.0501999133209208
13,Denmark,3,1,2,6,1928,13,0,655,0.0198473282442748,0.11215174873682,-0.059377711,0.0395365798657709
14,Czechoslovakia,2,5,2,9,1928,18,0,655,0.0274809160305343,0.0749821282239202,-0.036724513,0.056253129472886
15,Japan,2,2,1,5,1928,11,0,655,0.0167938931297709,0.0308954330278842,0.0076793706983338,-0.020519968
16,Estonia,2,1,2,5,1928,10,0,655,0.015267175572519,0.0880598816225788,-0.056791081,0.029837845459897
17,Egypt,2,1,1,4,1928,9,0,655,0.0137404580152671,-0.011362303,0.0170307797201968,-0.019578094
18,Austria,2,0,1,3,1928,7,0,655,0.0106870229007633,0.1426373113008584,-0.072329556,0.0240571260583699
19,Australia,1,2,1,4,1928,8,0,655,0.0122137404580152,0.0593783761803394,0.0105979239956092,-0.017491077
19,Norway,1,2,1,4,1928,8,0,655,0.0122137404580152,0.0736612564982121,0.0268687394913607,-0.030603601
21,Poland,1,1,3,5,1928,8,0,655,0.0122137404580152,0.0960781072930106,-0.033445012,0.0298788401460767
21,Yugoslavia,1,1,3,5,1928,8,0,655,0.0122137404580152,0.0853694851248009,-0.012944361,0.0515068632115274
23,South Africa,1,0,2,3,1928,5,0,655,0.0076335877862595,0.0097076475034568,-0.014002044,0.0208371289553415
24,India,1,0,0,1,1928,3,0,655,0.0045801526717557,0.0354053868167537,0.0374176492799498,0.0175643905294755
24,Ireland,1,0,0,1,1928,3,0,655,0.0045801526717557,0.0043770977096089,0.0492732399711982,0.0361240253097746
24,New Zealand,1,0,0,1,1928,3,0,655,0.0045801526717557,0.0991513404046973,-0.003886849,0.0097812651250406
24,Spain,1,0,0,1,1928,3,0,655,0.0045801526717557,0.0523829915644519,-0.003431032,0.0516043365955357
24,Uruguay,1,0,0,1,1928,3,0,655,0.0045801526717557,-0.007648627,0.0321630839059514,0.0383103151530274
29,Belgium,0,1,2,3,1928,4,0,655,0.0061068702290076,0.0999535450525768,-0.072116842,0.0394756734574606
30,Chile,0,1,0,1,1928,2,0,655,0.0030534351145038,0.0061582518953526,-0.003767427,0.0468435264192354
30,Haiti,0,1,0,1,1928,2,0,655,0.0030534351145038,0.0,0.0,0.0
32,Philippines,0,0,1,1,1928,1,0,655,0.0015267175572519,0.1125621440638615,0.0413774240570134,-0.04002275
32,Portugal,0,0,1,1,1928,1,0,655,0.0015267175572519,0.0502517307220905,0.0062580577956718,0.0442410827754413
1,United States,44,36,30,110,1932,234,1,745,0.3140939597315436,-0.018635704,-0.009878765,-0.005536997
2,Italy,12,12,12,36,1932,72,0,745,0.0966442953020134,-0.028464728,0.000580383620461,0.0517707547535864
3,France,11,5,4,20,1932,47,0,745,0.0630872483221476,-0.007371037,-0.005794931,-0.00930495
4,Sweden,10,5,9,24,1932,49,0,745,0.0657718120805369,0.0678301712724681,-0.015719948,0.0220085393768702
5,Japan,7,7,4,18,1932,39,0,745,0.0523489932885906,0.0308954330278842,0.0076793706983338,-0.020519968
6,Hungary,6,5,5,16,1932,33,0,745,0.0442953020134228,0.081822948682144,-0.015298107,0.0298869241525155
7,Germany,5,12,7,24,1932,46,0,745,0.061744966442953,0.0037464236304567,0.054508500406284,0.0294116358445334
8,Finland,5,8,12,25,1932,43,0,745,0.0577181208053691,0.0687637573636961,0.0453412694394228,-0.030496104
9,Great Britain,5,7,5,17,1932,34,0,745,0.0456375838926174,-0.06192036,-0.031880806,-0.009741821
10,Poland,3,2,4,9,1932,17,0,745,0.0228187919463087,0.0960781072930106,-0.033445012,0.0298788401460767
11,Australia,3,1,1,5,1932,12,0,745,0.0161073825503355,0.0593783761803394,0.0105979239956092,-0.017491077
12,Argentina,3,1,0,4,1932,11,0,745,0.0147651006711409,0.0377932089641432,-0.009101754,0.0501999133209208
13,Canada,2,5,9,16,1932,25,0,745,0.0335570469798657,0.0147731501056603,-0.004054787,0.0028425278416601
14,Netherlands,2,5,1,8,1932,17,0,745,0.0228187919463087,0.0326027226637719,0.0182504912085674,-0.013945041
15,South Africa,2,0,3,5,1932,9,0,745,0.0120805369127516,0.0097076475034568,-0.014002044,0.0208371289553415
16,Ireland,2,0,0,2,1932,6,0,745,0.0080536912751677,0.0043770977096089,0.0492732399711982,0.0361240253097746
17,Czechoslovakia,1,3,2,6,1932,11,0,745,0.0147651006711409,0.0749821282239202,-0.036724513,0.056253129472886
18,Austria,1,1,3,5,1932,8,0,745,0.010738255033557,0.1426373113008584,-0.072329556,0.0240571260583699
19,India,1,0,0,1,1932,3,0,745,0.0040268456375838,0.0354053868167537,0.0374176492799498,0.0175643905294755
20,Denmark,0,5,3,8,1932,13,0,745,0.0174496644295302,0.11215174873682,-0.059377711,0.0395365798657709
21,Mexico,0,2,0,2,1932,4,0,745,0.0053691275167785,-0.036453767,-0.033701709,-0.026782985
22,Latvia,0,1,0,1,1932,2,0,745,0.0026845637583892,0.0795054125886066,-0.054190134,0.066111305588507
22,New Zealand,0,1,0,1,1932,2,0,745,0.0026845637583892,0.0991513404046973,-0.003886849,0.0097812651250406
22,Switzerland,0,1,0,1,1932,2,0,745,0.0026845637583892,0.0645047778662797,-0.042643872,0.0670263595359131
25,Philippines,0,0,3,3,1932,3,0,745,0.0040268456375838,0.1125621440638615,0.0413774240570134,-0.04002275
26,Belgium,0,0,1,1,1932,1,0,745,0.0013422818791946,0.0999535450525768,-0.072116842,0.0394756734574606
26,Spain,0,0,1,1,1932,1,0,745,0.0013422818791946,0.0523829915644519,-0.003431032,0.0516043365955357
26,Uruguay,0,0,1,1,1932,1,0,745,0.0013422818791946,-0.007648627,0.0321630839059514,0.0383103151530274
1,Germany,38,31,32,101,1936,208,1,844,0.2464454976303317,0.0037464236304567,0.054508500406284,0.0294116358445334
2,United States,24,21,12,57,1936,126,0,844,0.1492890995260663,-0.018635704,-0.009878765,-0.005536997
3,Hungary,10,1,5,16,1936,37,0,844,0.0438388625592417,0.081822948682144,-0.015298107,0.0298869241525155
4,Italy,9,13,5,27,1936,58,0,844,0.0687203791469194,-0.028464728,0.000580383620461,0.0517707547535864
5,Finland,8,6,6,20,1936,42,0,844,0.0497630331753554,0.0687637573636961,0.0453412694394228,-0.030496104
6,France,7,6,6,19,1936,39,0,844,0.0462085308056872,-0.007371037,-0.005794931,-0.00930495
7,Sweden,6,5,10,21,1936,38,0,844,0.0450236966824644,0.0678301712724681,-0.015719948,0.0220085393768702
8,Japan,6,4,10,20,1936,36,0,844,0.0426540284360189,0.0308954330278842,0.0076793706983338,-0.020519968
9,Netherlands,6,4,7,17,1936,33,0,844,0.0390995260663507,0.0326027226637719,0.0182504912085674,-0.013945041
10,Austria,5,7,5,17,1936,34,0,844,0.0402843601895734,0.1426373113008584,-0.072329556,0.0240571260583699
11,Switzerland,4,9,5,18,1936,35,0,844,0.0414691943127962,0.0645047778662797,-0.042643872,0.0670263595359131
12,Great Britain,4,7,3,14,1936,29,0,844,0.0343601895734597,-0.06192036,-0.031880806,-0.009741821
13,Czechoslovakia,3,5,1,9,1936,20,0,844,0.0236966824644549,0.0749821282239202,-0.036724513,0.056253129472886
14,Argentina,2,2,3,7,1936,13,0,844,0.0154028436018957,0.0377932089641432,-0.009101754,0.0501999133209208
14,Estonia,2,2,3,7,1936,13,0,844,0.0154028436018957,0.0880598816225788,-0.056791081,0.029837845459897
16,Egypt,2,1,2,5,1936,10,0,844,0.0118483412322274,-0.011362303,0.0170307797201968,-0.019578094
17,Canada,1,3,5,9,1936,14,0,844,0.0165876777251184,0.0147731501056603,-0.004054787,0.0028425278416601
18,Norway,1,3,2,6,1936,11,0,844,0.0130331753554502,0.0736612564982121,0.0268687394913607,-0.030603601
19,Turkey,1,0,1,2,1936,4,0,844,0.0047393364928909,0.0348245838511438,0.0071872141261822,0.0390670382651637
20,India,1,0,0,1,1936,3,0,844,0.0035545023696682,0.0354053868167537,0.0374176492799498,0.0175643905294755
20,New Zealand,1,0,0,1,1936,3,0,844,0.0035545023696682,0.0991513404046973,-0.003886849,0.0097812651250406
22,Poland,0,4,5,9,1936,13,0,844,0.0154028436018957,0.0960781072930106,-0.033445012,0.0298788401460767
23,Denmark,0,2,3,5,1936,7,0,844,0.0082938388625592,0.11215174873682,-0.059377711,0.0395365798657709
24,Latvia,0,1,1,2,1936,3,0,844,0.0035545023696682,0.0795054125886066,-0.054190134,0.066111305588507
25,Romania,0,1,0,1,1936,2,0,844,0.0023696682464454,0.1381380069280918,-0.032482878,-0.008737718
25,South Africa,0,1,0,1,1936,2,0,844,0.0023696682464454,0.0097076475034568,-0.014002044,0.0208371289553415
25,Yugoslavia,0,1,0,1,1936,2,0,844,0.0023696682464454,0.0853694851248009,-0.012944361,0.0515068632115274
28,Belgium,0,0,3,3,1936,3,0,844,0.0035545023696682,0.0999535450525768,-0.072116842,0.0394756734574606
28,Mexico,0,0,3,3,1936,3,0,844,0.0035545023696682,-0.036453767,-0.033701709,-0.026782985
30,Australia,0,0,1,1,1936,1,0,844,0.0011848341232227,0.0593783761803394,0.0105979239956092,-0.017491077
30,Philippines,0,0,1,1,1936,1,0,844,0.0011848341232227,0.1125621440638615,0.0413774240570134,-0.04002275
30,Portugal,0,0,1,1,1936,1,0,844,0.0011848341232227,0.0502517307220905,0.0062580577956718,0.0442410827754413
1,United States,38,27,19,84,1948,187,0,822,0.2274939172749391,-0.018635704,-0.009878765,-0.005536997
2,Sweden,16,11,17,44,1948,87,0,822,0.1058394160583941,0.0678301712724681,-0.015719948,0.0220085393768702
3,France,10,6,13,29,1948,55,0,822,0.0669099756690997,-0.007371037,-0.005794931,-0.00930495
4,Hungary,10,5,12,27,1948,52,0,822,0.0632603406326034,0.081822948682144,-0.015298107,0.0298869241525155
5,Italy,8,11,8,27,1948,54,0,822,0.0656934306569343,-0.028464728,0.000580383620461,0.0517707547535864
6,Finland,8,7,5,20,1948,43,0,822,0.0523114355231143,0.0687637573636961,0.0453412694394228,-0.030496104
7,Turkey,6,4,2,12,1948,28,0,822,0.0340632603406326,0.0348245838511438,0.0071872141261822,0.0390670382651637
8,Czechoslovakia,6,2,3,11,1948,25,0,822,0.0304136253041362,0.0749821282239202,-0.036724513,0.056253129472886
9,Switzerland,5,10,5,20,1948,40,0,822,0.048661800486618,0.0645047778662797,-0.042643872,0.0670263595359131
10,Denmark,5,7,8,20,1948,37,0,822,0.0450121654501216,0.11215174873682,-0.059377711,0.0395365798657709
11,Netherlands,5,2,9,16,1948,28,0,822,0.0340632603406326,0.0326027226637719,0.0182504912085674,-0.013945041
12,Great Britain,3,14,6,23,1948,43,1,822,0.0523114355231143,-0.06192036,-0.031880806,-0.009741821
13,Argentina,3,3,1,7,1948,16,0,822,0.0194647201946472,0.0377932089641432,-0.009101754,0.0501999133209208
14,Australia,2,6,5,13,1948,23,0,822,0.0279805352798053,0.0593783761803394,0.0105979239956092,-0.017491077
15,Belgium,2,2,3,7,1948,13,0,822,0.0158150851581508,0.0999535450525768,-0.072116842,0.0394756734574606
16,Egypt,2,2,1,5,1948,11,0,822,0.0133819951338199,-0.011362303,0.0170307797201968,-0.019578094
17,Mexico,2,1,2,5,1948,10,0,822,0.0121654501216545,-0.036453767,-0.033701709,-0.026782985
18,South Africa,2,1,1,4,1948,9,0,822,0.010948905109489,0.0097076475034568,-0.014002044,0.0208371289553415
19,Norway,1,3,3,7,1948,12,0,822,0.0145985401459854,0.0736612564982121,0.0268687394913607,-0.030603601
20,Jamaica,1,2,0,3,1948,7,0,822,0.0085158150851581,0.0855338332575038,-0.021296139,0.0019865870098395
21,Austria,1,0,3,4,1948,6,0,822,0.0072992700729927,0.1426373113008584,-0.072329556,0.0240571260583699
22,India,1,0,0,1,1948,3,0,822,0.0036496350364963,0.0354053868167537,0.0374176492799498,0.0175643905294755
