Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score,Score_Rate
12,Russian Empire,1,2,0,3,1908,7,0,651,0.010752688172043012
13,Finland,1,1,3,5,1908,8,0,651,0.01228878648233487
14,South Africa,1,1,0,2,1908,5,0,651,0.007680491551459293
15,Greece,0,3,1,4,1908,7,0,651,0.010752688172043012
16,Denmark,0,2,3,5,1908,7,0,651,0.010752688172043012
17,Bohemia,0,0,2,2,1908,2,0,651,0.0030721966205837174
17,Netherlands,0,0,2,2,1908,2,0,651,0.0030721966205837174
19,Austria,0,0,1,1,1908,1,0,651,0.0015360983102918587
1,United States,26,19,19,64,1912,135,0,622,0.2170418006430868
2,Sweden,23,25,17,65,1912,136,1,622,0.21864951768488747
3,Great Britain,10,15,16,41,1912,76,0,622,0.12218649517684887
4,Finland,9,8,9,26,1912,52,0,622,0.08360128617363344
5,France,7,4,3,14,1912,32,0,622,0.05144694533762058
6,Germany,5,13,7,25,1912,48,0,622,0.07717041800643087
7,South Africa,4,2,0,6,1912,16,0,622,0.02572347266881029
8,Norway,3,2,5,10,1912,18,0,622,0.028938906752411574
9,Canada,3,2,3,8,1912,16,0,622,0.02572347266881029
9,Hungary,3,2,3,8,1912,16,0,622,0.02572347266881029
11,Italy,3,1,2,6,1912,13,0,622,0.02090032154340836
12,Australasia,2,2,3,7,1912,13,0,622,0.02090032154340836
13,Belgium,2,1,3,6,1912,11,0,622,0.017684887459807074
14,Denmark,1,6,5,12,1912,20,0,622,0.03215434083601286
15,Greece,1,0,1,2,1912,4,0,622,0.006430868167202572
16,Russian Empire,0,2,3,5,1912,7,0,622,0.011254019292604502
17,Austria,0,2,2,4,1912,6,0,622,0.00964630225080386
18,Netherlands,0,0,3,3,1912,3,0,622,0.00482315112540193
1,United States,41,27,27,95,1920,204,0,895,0.22793296089385476
2,Sweden,19,20,25,64,1920,122,0,895,0.13631284916201117
3,Finland,15,10,9,34,1920,74,0,895,0.08268156424581005
4,Great Britain,14,15,13,42,1920,85,0,895,0.09497206703910614
5,Belgium,14,11,11,36,1920,75,1,895,0.08379888268156424
6,Norway,13,9,9,31,1920,66,0,895,0.07374301675977654
7,Italy,13,5,5,23,1920,54,0,895,0.060335195530726256
8,France,9,19,13,41,1920,78,0,895,0.08715083798882682
9,Netherlands,4,2,5,11,1920,21,0,895,0.02346368715083799
10,Denmark,3,9,1,13,1920,28,0,895,0.03128491620111732
11,South Africa,3,4,3,10,1920,20,0,895,0.0223463687150838
12,Canada,3,3,3,9,1920,18,0,895,0.02011173184357542
13,Switzerland,2,2,7,11,1920,17,0,895,0.01899441340782123
14,Estonia,1,2,0,3,1920,7,0,895,0.00782122905027933
15,Brazil,1,1,1,3,1920,6,0,895,0.0067039106145251395
16,Australia,0,2,1,3,1920,5,0,895,0.00558659217877095
17,Japan,0,2,0,2,1920,4,0,895,0.004469273743016759
17,Spain,0,2,0,2,1920,4,0,895,0.004469273743016759
19,Greece,0,1,0,1,1920,2,0,895,0.0022346368715083797
19,Luxembourg,0,1,0,1,1920,2,0,895,0.0022346368715083797
21,Czechoslovakia,0,0,2,2,1920,2,0,895,0.0022346368715083797
22,New Zealand,0,0,1,1,1920,1,0,895,0.0011173184357541898
1,United States,45,27,27,99,1924,216,0,757,0.285336856010568
2,Finland,14,13,10,37,1924,78,0,757,0.10303830911492734
3,France,13,15,10,38,1924,79,1,757,0.10435931307793923
4,Great Britain,9,13,12,34,1924,65,0,757,0.08586525759577279
5,Italy,8,3,5,16,1924,35,0,757,0.046235138705416116
6,Switzerland,7,8,10,25,1924,47,0,757,0.062087186261558784
7,Norway,5,2,3,10,1924,22,0,757,0.02906208718626156
8,Sweden,4,13,12,29,1924,50,0,757,0.06605019815059446
9,Netherlands,4,1,5,10,1924,19,0,757,0.02509907529722589
10,Belgium,3,7,3,13,1924,26,0,757,0.034346103038309116
11,Australia,3,1,2,6,1924,13,0,757,0.017173051519154558
12,Denmark,2,5,2,9,1924,18,0,757,0.023778071334214
13,Hungary,2,3,4,9,1924,16,0,757,0.021136063408190225
14,Yugoslavia,2,0,0,2,1924,6,0,757,0.007926023778071334
15,Czechoslovakia,1,4,5,10,1924,16,0,757,0.021136063408190225
16,Argentina,1,3,2,6,1924,11,0,757,0.01453104359313078
17,Estonia,1,1,4,6,1924,9,0,757,0.011889035667107
18,South Africa,1,1,1,3,1924,6,0,757,0.007926023778071334
19,Uruguay,1,0,0,1,1924,3,0,757,0.003963011889035667
20,Austria,0,3,1,4,1924,7,0,757,0.009247027741083224
20,Canada,0,3,1,4,1924,7,0,757,0.009247027741083224
22,Poland,0,1,1,2,1924,3,0,757,0.003963011889035667
23,Haiti,0,0,1,1,1924,1,0,757,0.001321003963011889
23,Japan,0,0,1,1,1924,1,0,757,0.001321003963011889
23,New Zealand,0,0,1,1,1924,1,0,757,0.001321003963011889
23,Portugal,0,0,1,1,1924,1,0,757,0.001321003963011889
23,Romania,0,0,1,1,1924,1,0,757,0.001321003963011889
1,United States,22,18,16,56,1928,118,0,655,0.1801526717557252
2,Germany,10,7,14,31,1928,58,0,655,0.08854961832061069
3,Finland,8,8,9,25,1928,49,0,655,0.07480916030534351
4,Sweden,7,6,12,25,1928,45,0,655,0.06870229007633588
5,Italy,7,5,7,19,1928,38,0,655,0.05801526717557252
6,Switzerland,7,4,4,15,1928,33,0,655,0.050381679389312976
7,France,6,10,5,21,1928,43,0,655,0.06564885496183206
8,Netherlands,6,9,4,19,1928,40,1,655,0.061068702290076333
9,Hungary,4,5,0,9,1928,22,0,655,0.03358778625954199
10,Canada,4,4,7,15,1928,27,0,655,0.04122137404580153
11,Great Britain,3,10,7,20,1928,36,0,655,0.0549618320610687
12,Argentina,3,3,1,7,1928,16,0,655,0.024427480916030534
13,Denmark,3,1,2,6,1928,13,0,655,0.01984732824427481
14,Czechoslovakia,2,5,2,9,1928,18,0,655,0.02748091603053435
15,Japan,2,2,1,5,1928,11,0,655,0.016793893129770993
16,Estonia,2,1,2,5,1928,10,0,655,0.015267175572519083
17,Egypt,2,1,1,4,1928,9,0,655,0.013740458015267175
18,Austria,2,0,1,3,1928,7,0,655,0.010687022900763359
19,Australia,1,2,1,4,1928,8,0,655,0.012213740458015267
19,Norway,1,2,1,4,1928,8,0,655,0.012213740458015267
21,Poland,1,1,3,5,1928,8,0,655,0.012213740458015267
21,Yugoslavia,1,1,3,5,1928,8,0,655,0.012213740458015267
23,South Africa,1,0,2,3,1928,5,0,655,0.007633587786259542
24,India,1,0,0,1,1928,3,0,655,0.004580152671755725
24,Ireland,1,0,0,1,1928,3,0,655,0.004580152671755725
24,New Zealand,1,0,0,1,1928,3,0,655,0.004580152671755725
24,Spain,1,0,0,1,1928,3,0,655,0.004580152671755725
24,Uruguay,1,0,0,1,1928,3,0,655,0.004580152671755725
29,Belgium,0,1,2,3,1928,4,0,655,0.0061068702290076335
30,Chile,0,1,0,1,1928,2,0,655,0.0030534351145038168
30,Haiti,0,1,0,1,1928,2,0,655,0.0030534351145038168
32,Philippines,0,0,1,1,1928,1,0,655,0.0015267175572519084
32,Portugal,0,0,1,1,1928,1,0,655,0.0015267175572519084
1,United States,44,36,30,110,1932,234,1,745,0.31409395973154364
2,Italy,12,12,12,36,1932,72,0,745,0.09664429530201342
3,France,11,5,4,20,1932,47,0,745,0.06308724832214765
4,Sweden,10,5,9,24,1932,49,0,745,0.06577181208053691
5,Japan,7,7,4,18,1932,39,0,745,0.052348993288590606
6,Hungary,6,5,5,16,1932,33,0,745,0.04429530201342282
7,Germany,5,12,7,24,1932,46,0,745,0.06174496644295302
8,Finland,5,8,12,25,1932,43,0,745,0.05771812080536913
9,Great Britain,5,7,5,17,1932,34,0,745,0.04563758389261745
10,Poland,3,2,4,9,1932,17,0,745,0.022818791946308724
11,Australia,3,1,1,5,1932,12,0,745,0.016107382550335572
12,Argentina,3,1,0,4,1932,11,0,745,0.01476510067114094
13,Canada,2,5,9,16,1932,25,0,745,0.03355704697986577
14,Netherlands,2,5,1,8,1932,17,0,745,0.022818791946308724
15,South Africa,2,0,3,5,1932,9,0,745,0.012080536912751677
16,Ireland,2,0,0,2,1932,6,0,745,0.008053691275167786
17,Czechoslovakia,1,3,2,6,1932,11,0,745,0.01476510067114094
18,Austria,1,1,3,5,1932,8,0,745,0.010738255033557046
19,India,1,0,0,1,1932,3,0,745,0.004026845637583893
20,Denmark,0,5,3,8,1932,13,0,745,0.0174496644295302
21,Mexico,0,2,0,2,1932,4,0,745,0.005369127516778523
22,Latvia,0,1,0,1,1932,2,0,745,0.0026845637583892616
22,New Zealand,0,1,0,1,1932,2,0,745,0.0026845637583892616
22,Switzerland,0,1,0,1,1932,2,0,745,0.0026845637583892616
25,Philippines,0,0,3,3,1932,3,0,745,0.004026845637583893
26,Belgium,0,0,1,1,1932,1,0,745,0.0013422818791946308
26,Spain,0,0,1,1,1932,1,0,745,0.0013422818791946308
26,Uruguay,0,0,1,1,1932,1,0,745,0.0013422818791946308
1,Germany,38,31,32,101,1936,208,1,844,0.24644549763033174
2,United States,24,21,12,57,1936,126,0,844,0.14928909952606634
3,Hungary,10,1,5,16,1936,37,0,844,0.04383886255924171
4,Italy,9,13,5,27,1936,58,0,844,0.06872037914691943
5,Finland,8,6,6,20,1936,42,0,844,0.04976303317535545
6,France,7,6,6,19,1936,39,0,844,0.0462085308056872
7,Sweden,6,5,10,21,1936,38,0,844,0.045023696682464455
8,Japan,6,4,10,20,1936,36,0,844,0.04265402843601896
9,Netherlands,6,4,7,17,1936,33,0,844,0.03909952606635071
10,Austria,5,7,5,17,1936,34,0,844,0.04028436018957346
11,Switzerland,4,9,5,18,1936,35,0,844,0.041469194312796206
12,Great Britain,4,7,3,14,1936,29,0,844,0.034360189573459717
13,Czechoslovakia,3,5,1,9,1936,20,0,844,0.023696682464454975
14,Argentina,2,2,3,7,1936,13,0,844,0.015402843601895734
14,Estonia,2,2,3,7,1936,13,0,844,0.015402843601895734
16,Egypt,2,1,2,5,1936,10,0,844,0.011848341232227487
17,Canada,1,3,5,9,1936,14,0,844,0.016587677725118485
18,Norway,1,3,2,6,1936,11,0,844,0.013033175355450236
19,Turkey,1,0,1,2,1936,4,0,844,0.004739336492890996
20,India,1,0,0,1,1936,3,0,844,0.0035545023696682463
20,New Zealand,1,0,0,1,1936,3,0,844,0.0035545023696682463
22,Poland,0,4,5,9,1936,13,0,844,0.015402843601895734
23,Denmark,0,2,3,5,1936,7,0,844,0.008293838862559242
24,Latvia,0,1,1,2,1936,3,0,844,0.0035545023696682463
25,Romania,0,1,0,1,1936,2,0,844,0.002369668246445498
25,South Africa,0,1,0,1,1936,2,0,844,0.002369668246445498
25,Yugoslavia,0,1,0,1,1936,2,0,844,0.002369668246445498
28,Belgium,0,0,3,3,1936,3,0,844,0.0035545023696682463
28,Mexico,0,0,3,3,1936,3,0,844,0.0035545023696682463
30,Australia,0,0,1,1,1936,1,0,844,0.001184834123222749
30,Philippines,0,0,1,1,1936,1,0,844,0.001184834123222749
30,Portugal,0,0,1,1,1936,1,0,844,0.001184834123222749
1,United States,38,27,19,84,1948,187,0,822,0.22749391727493917
2,Sweden,16,11,17,44,1948,87,0,822,0.10583941605839416
3,France,10,6,13,29,1948,55,0,822,0.06690997566909976
4,Hungary,10,5,12,27,1948,52,0,822,0.06326034063260341
5,Italy,8,11,8,27,1948,54,0,822,0.06569343065693431
6,Finland,8,7,5,20,1948,43,0,822,0.052311435523114354
7,Turkey,6,4,2,12,1948,28,0,822,0.0340632603406326
8,Czechoslovakia,6,2,3,11,1948,25,0,822,0.030413625304136254
9,Switzerland,5,10,5,20,1948,40,0,822,0.04866180048661801
10,Denmark,5,7,8,20,1948,37,0,822,0.045012165450121655
11,Netherlands,5,2,9,16,1948,28,0,822,0.0340632603406326
12,Great Britain,3,14,6,23,1948,43,1,822,0.052311435523114354
13,Argentina,3,3,1,7,1948,16,0,822,0.019464720194647202
14,Australia,2,6,5,13,1948,23,0,822,0.027980535279805353
15,Belgium,2,2,3,7,1948,13,0,822,0.015815085158150853
16,Egypt,2,2,1,5,1948,11,0,822,0.01338199513381995
17,Mexico,2,1,2,5,1948,10,0,822,0.012165450121654502
18,South Africa,2,1,1,4,1948,9,0,822,0.010948905109489052
19,Norway,1,3,3,7,1948,12,0,822,0.014598540145985401
20,Jamaica,1,2,0,3,1948,7,0,822,0.00851581508515815
21,Austria,1,0,3,4,1948,6,0,822,0.0072992700729927005
22,India,1,0,0,1,1948,3,0,822,0.0036496350364963502
22,Peru,1,0,0,1,1948,3,0,822,0.0036496350364963502
24,Yugoslavia,0,2,0,2,1948,4,0,822,0.004866180048661801
25,Canada,0,1,2,3,1948,4,0,822,0.004866180048661801
26,Portugal,0,1,1,2,1948,3,0,822,0.0036496350364963502
26,Uruguay,0,1,1,2,1948,3,0,822,0.0036496350364963502
28,Ceylon,0,1,0,1,1948,2,0,822,0.0024330900243309003
28,Cuba,0,1,0,1,1948,2,0,822,0.0024330900243309003
28,Spain,0,1,0,1,1948,2,0,822,0.0024330900243309003
28,Trinidad and Tobago,0,1,0,1,1948,2,0,822,0.0024330900243309003
32,Panama,0,0,2,2,1948,2,0,822,0.0024330900243309003
32,South Korea,0,0,2,2,1948,2,0,822,0.0024330900243309003
34,Brazil,0,0,1,1,1948,1,0,822,0.0012165450121654502
34,Iran,0,0,1,1,1948,1,0,822,0.0012165450121654502
34,Poland,0,0,1,1,1948,1,0,822,0.0012165450121654502
34,Puerto Rico,0,0,1,1,1948,1,0,822,0.0012165450121654502
1,United States,40,19,17,76,1952,175,0,909,0.1925192519251925
2,Soviet Union,22,30,19,71,1952,145,0,909,0.15951595159515952
3,Hungary,16,10,16,42,1952,84,0,909,0.0924092409240924
4,Sweden,12,13,10,35,1952,72,0,909,0.07920792079207921
5,Italy,8,9,4,21,1952,46,0,909,0.050605060506050605
6,Czechoslovakia,7,3,3,13,1952,30,0,909,0.033003300330033
7,France,6,6,6,18,1952,36,0,909,0.039603960396039604
8,Finland,6,3,13,22,1952,37,1,909,0.0407040704070407
9,Australia,6,2,3,11,1952,25,0,909,0.027502750275027504
10,Norway,3,2,0,5,1952,13,0,909,0.014301430143014302
11,Switzerland,2,6,6,14,1952,24,0,909,0.026402640264026403
12,South Africa,2,4,4,10,1952,18,0,909,0.019801980198019802
13,Jamaica,2,3,0,5,1952,12,0,909,0.013201320132013201
14,Belgium,2,2,0,4,1952,10,0,909,0.011001100110011002
15,Denmark,2,1,3,6,1952,11,0,909,0.0121012101210121
16,Turkey,2,0,1,3,1952,7,0,909,0.007700770077007701
17,Japan,1,6,2,9,1952,17,0,909,0.0187018701870187
18,Great Britain,1,2,8,11,1952,15,0,909,0.0165016501650165
19,Argentina,1,2,2,5,1952,9,0,909,0.009900990099009901
20,Poland,1,2,1,4,1952,8,0,909,0.0088008800880088
21,Canada,1,2,0,3,1952,7,0,909,0.007700770077007701
21,Yugoslavia,1,2,0,3,1952,7,0,909,0.007700770077007701
23,Romania,1,1,2,4,1952,7,0,909,0.007700770077007701
24,Brazil,1,0,2,3,1952,5,0,909,0.005500550055005501
24,New Zealand,1,0,2,3,1952,5,0,909,0.005500550055005501
26,India,1,0,1,2,1952,4,0,909,0.0044004400440044
27,Luxembourg,1,0,0,1,1952,3,0,909,0.0033003300330033004
28,Germany,0,7,17,24,1952,31,0,909,0.034103410341034104
29,Netherlands,0,5,0,5,1952,10,0,909,0.011001100110011002
30,Iran,0,3,4,7,1952,10,0,909,0.011001100110011002
31,Chile,0,2,0,2,1952,4,0,909,0.0044004400440044
32,Austria,0,1,1,2,1952,3,0,909,0.0033003300330033004
32,Lebanon,0,1,1,2,1952,3,0,909,0.0033003300330033004
34,Ireland,0,1,0,1,1952,2,0,909,0.0022002200220022
34,Mexico,0,1,0,1,1952,2,0,909,0.0022002200220022
34,Spain,0,1,0,1,1952,2,0,909,0.0022002200220022
37,South Korea,0,0,2,2,1952,2,0,909,0.0022002200220022
37,Trinidad and Tobago,0,0,2,2,1952,2,0,909,0.0022002200220022
37,Uruguay,0,0,2,2,1952,2,0,909,0.0022002200220022
40,Bulgaria,0,0,1,1,1952,1,0,909,0.0011001100110011
40,Egypt,0,0,1,1,1952,1,0,909,0.0011001100110011
40,Portugal,0,0,1,1,1952,1,0,909,0.0011001100110011
40,Venezuela,0,0,1,1,1952,1,0,909,0.0011001100110011
1,Soviet Union,37,29,32,98,1956,201,0,928,0.2165948275862069
2,United States,32,25,17,74,1956,163,0,928,0.17564655172413793
3,Australia,13,8,14,35,1956,69,1,928,0.07435344827586207
4,Hungary,9,10,7,26,1956,54,0,928,0.05818965517241379
5,Italy,8,8,9,25,1956,49,0,928,0.052801724137931036
6,Sweden,8,5,6,19,1956,40,0,928,0.04310344827586207
7,United Team of Germany,6,13,7,26,1956,51,0,928,0.05495689655172414
8,Great Britain,6,7,11,24,1956,43,0,928,0.04633620689655173
9,Romania,5,3,5,13,1956,26,0,928,0.028017241379310345
10,Japan,4,10,5,19,1956,37,0,928,0.03987068965517242
11,France,4,4,6,14,1956,26,0,928,0.028017241379310345
12,Turkey,3,2,2,7,1956,15,0,928,0.016163793103448277
13,Finland,3,1,11,15,1956,22,0,928,0.023706896551724137
14,Iran,2,2,1,5,1956,11,0,928,0.011853448275862068
15,Canada,2,1,3,6,1956,11,0,928,0.011853448275862068
16,New Zealand,2,0,0,2,1956,6,0,928,0.00646551724137931
17,Poland,1,4,4,9,1956,15,0,928,0.016163793103448277
18,Czechoslovakia,1,4,1,6,1956,12,0,928,0.01293103448275862
19,Bulgaria,1,3,1,5,1956,10,0,928,0.010775862068965518
20,Denmark,1,2,1,4,1956,8,0,928,0.008620689655172414
21,Ireland,1,1,3,5,1956,8,0,928,0.008620689655172414
22,Norway,1,0,2,3,1956,5,0,928,0.005387931034482759
23,Mexico,1,0,1,2,1956,4,0,928,0.004310344827586207
24,Brazil,1,0,0,1,1956,3,0,928,0.003232758620689655
24,India,1,0,0,1,1956,3,0,928,0.003232758620689655
26,Yugoslavia,0,3,0,3,1956,6,0,928,0.00646551724137931
27,Chile,0,2,2,4,1956,6,0,928,0.00646551724137931
28,Belgium,0,2,0,2,1956,4,0,928,0.004310344827586207
29,Argentina,0,1,1,2,1956,3,0,928,0.003232758620689655
29,South Korea,0,1,1,2,1956,3,0,928,0.003232758620689655
31,Iceland,0,1,0,1,1956,2,0,928,0.0021551724137931034
31,Pakistan,0,1,0,1,1956,2,0,928,0.0021551724137931034
33,South Africa,0,0,4,4,1956,4,0,928,0.004310344827586207
34,Austria,0,0,2,2,1956,2,0,928,0.0021551724137931034
35,Bahamas,0,0,1,1,1956,1,0,928,0.0010775862068965517
35,Greece,0,0,1,1,1956,1,0,928,0.0010775862068965517
35,Switzerland,0,0,1,1,1956,1,0,928,0.0010775862068965517
35,Uruguay,0,0,1,1,1956,1,0,928,0.0010775862068965517
1,Soviet Union,43,29,31,103,1960,218,0,914,0.23851203501094093
2,United States,34,21,16,71,1960,160,0,914,0.175054704595186
3,Italy,13,10,13,36,1960,72,1,914,0.0787746170678337
4,United Team of Germany,12,19,11,42,1960,85,0,914,0.09299781181619256
5,Australia,8,8,6,22,1960,46,0,914,0.05032822757111598
6,Turkey,7,2,0,9,1960,25,0,914,0.02735229759299781
7,Hungary,6,8,7,21,1960,41,0,914,0.044857768052516414
8,Japan,4,7,7,18,1960,33,0,914,0.036105032822757115
9,Poland,4,6,11,21,1960,35,0,914,0.038293216630196934
10,Czechoslovakia,3,2,3,8,1960,16,0,914,0.0175054704595186
11,Romania,3,1,6,10,1960,17,0,914,0.018599562363238512
12,Great Britain,2,6,12,20,1960,30,0,914,0.03282275711159737
13,Denmark,2,3,1,6,1960,13,0,914,0.014223194748358862
14,New Zealand,2,0,1,3,1960,7,0,914,0.007658643326039387
15,Bulgaria,1,3,3,7,1960,12,0,914,0.01312910284463895
16,Sweden,1,2,3,6,1960,10,0,914,0.010940919037199124
17,Finland,1,1,3,5,1960,8,0,914,0.0087527352297593
18,Austria,1,1,0,2,1960,5,0,914,0.005470459518599562
18,Yugoslavia,1,1,0,2,1960,5,0,914,0.005470459518599562
20,Pakistan,1,0,1,2,1960,4,0,914,0.00437636761487965
21,Ethiopia,1,0,0,1,1960,3,0,914,0.0032822757111597373
21,Greece,1,0,0,1,1960,3,0,914,0.0032822757111597373
21,Norway,1,0,0,1,1960,3,0,914,0.0032822757111597373
24,Switzerland,0,3,3,6,1960,9,0,914,0.009846827133479213
25,France,0,2,3,5,1960,7,0,914,0.007658643326039387
26,Belgium,0,2,2,4,1960,6,0,914,0.006564551422319475
27,Iran,0,1,3,4,1960,5,0,914,0.005470459518599562
28,Netherlands,0,1,2,3,1960,4,0,914,0.00437636761487965
28,South Africa,0,1,2,3,1960,4,0,914,0.00437636761487965
30,Argentina,0,1,1,2,1960,3,0,914,0.0032822757111597373
30,Egypt,0,1,1,2,1960,3,0,914,0.0032822757111597373
32,Canada,0,1,0,1,1960,2,0,914,0.002188183807439825
32,Formosa,0,1,0,1,1960,2,0,914,0.002188183807439825
32,Ghana,0,1,0,1,1960,2,0,914,0.002188183807439825
32,India,0,1,0,1,1960,2,0,914,0.002188183807439825
32,Morocco,0,1,0,1,1960,2,0,914,0.002188183807439825
32,Portugal,0,1,0,1,1960,2,0,914,0.002188183807439825
32,Singapore,0,1,0,1,1960,2,0,914,0.002188183807439825
39,Brazil,0,0,2,2,1960,2,0,914,0.002188183807439825
39,British West Indies,0,0,2,2,1960,2,0,914,0.002188183807439825
41,Iraq,0,0,1,1,1960,1,0,914,0.0010940919037199124
41,Mexico,0,0,1,1,1960,1,0,914,0.0010940919037199124
41,Spain,0,0,1,1,1960,1,0,914,0.0010940919037199124
41,Venezuela,0,0,1,1,1960,1,0,914,0.0010940919037199124
1,United States,36,26,28,90,1964,188,0,997,0.18856569709127383
2,Soviet Union,30,31,35,96,1964,187,0,997,0.18756268806419257
3,Japan,16,5,8,29,1964,66,1,997,0.06619859578736209
4,United Team of Germany,10,22,18,50,1964,92,0,997,0.09227683049147442
5,Italy,10,10,7,27,1964,57,0,997,0.05717151454363089
6,Hungary,10,7,5,22,1964,49,0,997,0.04914744232698094
7,Poland,7,6,10,23,1964,43,0,997,0.04312938816449348
8,Australia,6,2,10,18,1964,32,0,997,0.0320962888665998
9,Czechoslovakia,5,6,3,14,1964,30,0,997,0.03009027081243731
10,Great Britain,4,12,2,18,1964,38,0,997,0.03811434302908726
11,Bulgaria,3,5,2,10,1964,21,0,997,0.02106318956870612
12,Finland,3,0,2,5,1964,11,0,997,0.011033099297893681
12,New Zealand,3,0,2,5,1964,11,0,997,0.011033099297893681
14,Romania,2,4,6,12,1964,20,0,997,0.020060180541624874
15,Netherlands,2,4,4,10,1964,18,0,997,0.01805416248746239
16,Turkey,2,3,1,6,1964,13,0,997,0.013039117352056168
17,Sweden,2,2,4,8,1964,14,0,997,0.014042126379137413
18,Denmark,2,1,3,6,1964,11,0,997,0.011033099297893681
19,Yugoslavia,2,1,2,5,1964,10,0,997,0.010030090270812437
20,Belgium,2,0,1,3,1964,7,0,997,0.007021063189568706
21,France,1,8,6,15,1964,25,0,997,0.025075225677031094
22,Canada,1,2,1,4,1964,8,0,997,0.00802407221664995
22,Switzerland,1,2,1,4,1964,8,0,997,0.00802407221664995
24,Bahamas,1,0,0,1,1964,3,0,997,0.003009027081243731
24,Ethiopia,1,0,0,1,1964,3,0,997,0.003009027081243731
24,India,1,0,0,1,1964,3,0,997,0.003009027081243731
27,South Korea,0,2,1,3,1964,5,0,997,0.0050150451354062184
28,Trinidad and Tobago,0,1,2,3,1964,4,0,997,0.004012036108324975
29,Tunisia,0,1,1,2,1964,3,0,997,0.003009027081243731
30,Argentina,0,1,0,1,1964,2,0,997,0.0020060180541624875
30,Cuba,0,1,0,1,1964,2,0,997,0.0020060180541624875
30,Pakistan,0,1,0,1,1964,2,0,997,0.0020060180541624875
30,Philippines,0,1,0,1,1964,2,0,997,0.0020060180541624875
34,Iran,0,0,2,2,1964,2,0,997,0.0020060180541624875
