Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score
37,Uruguay,0,0,2,2,1952,2,0,909
40,Bulgaria,0,0,1,1,1952,1,0,909
40,Egypt,0,0,1,1,1952,1,0,909
40,Portugal,0,0,1,1,1952,1,0,909
40,Venezuela,0,0,1,1,1952,1,0,909
1,Soviet Union,37,29,32,98,1956,201,0,928
2,United States,32,25,17,74,1956,163,0,928
3,Australia,13,8,14,35,1956,69,1,928
4,Hungary,9,10,7,26,1956,54,0,928
5,Italy,8,8,9,25,1956,49,0,928
6,Sweden,8,5,6,19,1956,40,0,928
7,United Team of Germany,6,13,7,26,1956,51,0,928
8,Great Britain,6,7,11,24,1956,43,0,928
9,Romania,5,3,5,13,1956,26,0,928
10,Japan,4,10,5,19,1956,37,0,928
11,France,4,4,6,14,1956,26,0,928
12,Turkey,3,2,2,7,1956,15,0,928
13,Finland,3,1,11,15,1956,22,0,928
14,Iran,2,2,1,5,1956,11,0,928
15,Canada,2,1,3,6,1956,11,0,928
16,New Zealand,2,0,0,2,1956,6,0,928
17,Poland,1,4,4,9,1956,15,0,928
18,Czechoslovakia,1,4,1,6,1956,12,0,928
19,Bulgaria,1,3,1,5,1956,10,0,928
20,Denmark,1,2,1,4,1956,8,0,928
21,Ireland,1,1,3,5,1956,8,0,928
22,Norway,1,0,2,3,1956,5,0,928
23,Mexico,1,0,1,2,1956,4,0,928
24,Brazil,1,0,0,1,1956,3,0,928
24,India,1,0,0,1,1956,3,0,928
26,Yugoslavia,0,3,0,3,1956,6,0,928
27,Chile,0,2,2,4,1956,6,0,928
28,Belgium,0,2,0,2,1956,4,0,928
29,Argentina,0,1,1,2,1956,3,0,928
29,South Korea,0,1,1,2,1956,3,0,928
31,Iceland,0,1,0,1,1956,2,0,928
31,Pakistan,0,1,0,1,1956,2,0,928
33,South Africa,0,0,4,4,1956,4,0,928
34,Austria,0,0,2,2,1956,2,0,928
35,Bahamas,0,0,1,1,1956,1,0,928
35,Greece,0,0,1,1,1956,1,0,928
35,Switzerland,0,0,1,1,1956,1,0,928
35,Uruguay,0,0,1,1,1956,1,0,928
1,Soviet Union,43,29,31,103,1960,218,0,914
2,United States,34,21,16,71,1960,160,0,914
3,Italy,13,10,13,36,1960,72,1,914
4,United Team of Germany,12,19,11,42,1960,85,0,914
5,Australia,8,8,6,22,1960,46,0,914
6,Turkey,7,2,0,9,1960,25,0,914
7,Hungary,6,8,7,21,1960,41,0,914
8,Japan,4,7,7,18,1960,33,0,914
9,Poland,4,6,11,21,1960,35,0,914
10,Czechoslovakia,3,2,3,8,1960,16,0,914
11,Romania,3,1,6,10,1960,17,0,914
12,Great Britain,2,6,12,20,1960,30,0,914
13,Denmark,2,3,1,6,1960,13,0,914
14,New Zealand,2,0,1,3,1960,7,0,914
15,Bulgaria,1,3,3,7,1960,12,0,914
16,Sweden,1,2,3,6,1960,10,0,914
17,Finland,1,1,3,5,1960,8,0,914
18,Austria,1,1,0,2,1960,5,0,914
18,Yugoslavia,1,1,0,2,1960,5,0,914
20,Pakistan,1,0,1,2,1960,4,0,914
21,Ethiopia,1,0,0,1,1960,3,0,914
21,Greece,1,0,0,1,1960,3,0,914
21,Norway,1,0,0,1,1960,3,0,914
24,Switzerland,0,3,3,6,1960,9,0,914
25,France,0,2,3,5,1960,7,0,914
26,Belgium,0,2,2,4,1960,6,0,914
27,Iran,0,1,3,4,1960,5,0,914
28,Netherlands,0,1,2,3,1960,4,0,914
28,South Africa,0,1,2,3,1960,4,0,914
30,Argentina,0,1,1,2,1960,3,0,914
30,Egypt,0,1,1,2,1960,3,0,914
32,Canada,0,1,0,1,1960,2,0,914
32,Formosa,0,1,0,1,1960,2,0,914
32,Ghana,0,1,0,1,1960,2,0,914
32,India,0,1,0,1,1960,2,0,914
32,Morocco,0,1,0,1,1960,2,0,914
32,Portugal,0,1,0,1,1960,2,0,914
32,Singapore,0,1,0,1,1960,2,0,914
39,Brazil,0,0,2,2,1960,2,0,914
39,British West Indies,0,0,2,2,1960,2,0,914
41,Iraq,0,0,1,1,1960,1,0,914
41,Mexico,0,0,1,1,1960,1,0,914
41,Spain,0,0,1,1,1960,1,0,914
41,Venezuela,0,0,1,1,1960,1,0,914
1,United States,36,26,28,90,1964,188,0,997
2,Soviet Union,30,31,35,96,1964,187,0,997
3,Japan,16,5,8,29,1964,66,1,997
4,United Team of Germany,10,22,18,50,1964,92,0,997
5,Italy,10,10,7,27,1964,57,0,997
6,Hungary,10,7,5,22,1964,49,0,997
7,Poland,7,6,10,23,1964,43,0,997
8,Australia,6,2,10,18,1964,32,0,997
9,Czechoslovakia,5,6,3,14,1964,30,0,997
10,Great Britain,4,12,2,18,1964,38,0,997
11,Bulgaria,3,5,2,10,1964,21,0,997
12,Finland,3,0,2,5,1964,11,0,997
12,New Zealand,3,0,2,5,1964,11,0,997
14,Romania,2,4,6,12,1964,20,0,997
15,Netherlands,2,4,4,10,1964,18,0,997
16,Turkey,2,3,1,6,1964,13,0,997
17,Sweden,2,2,4,8,1964,14,0,997
18,Denmark,2,1,3,6,1964,11,0,997
19,Yugoslavia,2,1,2,5,1964,10,0,997
20,Belgium,2,0,1,3,1964,7,0,997
21,France,1,8,6,15,1964,25,0,997
22,Canada,1,2,1,4,1964,8,0,997
22,Switzerland,1,2,1,4,1964,8,0,997
24,Bahamas,1,0,0,1,1964,3,0,997
24,Ethiopia,1,0,0,1,1964,3,0,997
24,India,1,0,0,1,1964,3,0,997
27,South Korea,0,2,1,3,1964,5,0,997
28,Trinidad and Tobago,0,1,2,3,1964,4,0,997
29,Tunisia,0,1,1,2,1964,3,0,997
30,Argentina,0,1,0,1,1964,2,0,997
30,Cuba,0,1,0,1,1964,2,0,997
30,Pakistan,0,1,0,1,1964,2,0,997
30,Philippines,0,1,0,1,1964,2,0,997
34,Iran,0,0,2,2,1964,2,0,997
35,Brazil,0,0,1,1,1964,1,0,997
35,Ghana,0,0,1,1,1964,1,0,997
35,Ireland,0,0,1,1,1964,1,0,997
35,Kenya,0,0,1,1,1964,1,0,997
35,Mexico,0,0,1,1,1964,1,0,997
35,Nigeria,0,0,1,1,1964,1,0,997
35,Uruguay,0,0,1,1,1964,1,0,997
1,United States,45,28,34,107,1968,225,0,1045
2,Soviet Union,29,32,30,91,1968,181,0,1045
3,Japan,11,7,7,25,1968,54,0,1045
4,Hungary,10,10,12,32,1968,62,0,1045
5,East Germany,9,9,7,25,1968,52,0,1045
6,France,7,3,5,15,1968,32,0,1045
7,Czechoslovakia,7,2,4,13,1968,29,0,1045
8,West Germany,5,11,10,26,1968,47,0,1045
9,Australia,5,7,5,17,1968,34,0,1045
10,Great Britain,5,5,3,13,1968,28,0,1045
11,Poland,5,2,11,18,1968,30,0,1045
12,Romania,4,6,5,15,1968,29,0,1045
13,Italy,3,4,9,16,1968,26,0,1045
14,Kenya,3,4,2,9,1968,19,0,1045
15,Mexico,3,3,3,9,1968,18,1,1045
16,Yugoslavia,3,3,2,8,1968,17,0,1045
17,Netherlands,3,3,1,7,1968,16,0,1045
18,Bulgaria,2,4,3,9,1968,17,0,1045
19,Iran,2,1,2,5,1968,10,0,1045
20,Sweden,2,1,1,4,1968,9,0,1045
21,Turkey,2,0,0,2,1968,6,0,1045
22,Denmark,1,4,3,8,1968,14,0,1045
23,Canada,1,3,1,5,1968,10,0,1045
24,Finland,1,2,1,4,1968,8,0,1045
25,Ethiopia,1,1,0,2,1968,5,0,1045
25,Norway,1,1,0,2,1968,5,0,1045
27,New Zealand,1,0,2,3,1968,5,0,1045
28,Tunisia,1,0,1,2,1968,4,0,1045
29,Pakistan,1,0,0,1,1968,3,0,1045
29,Venezuela,1,0,0,1,1968,3,0,1045
31,Cuba,0,4,0,4,1968,8,0,1045
32,Austria,0,2,2,4,1968,6,0,1045
33,Switzerland,0,1,4,5,1968,6,0,1045
34,Mongolia,0,1,3,4,1968,5,0,1045
35,Brazil,0,1,2,3,1968,4,0,1045
36,Belgium,0,1,1,2,1968,3,0,1045
36,South Korea,0,1,1,2,1968,3,0,1045
36,Uganda,0,1,1,2,1968,3,0,1045
39,Cameroon,0,1,0,1,1968,2,0,1045
39,Jamaica,0,1,0,1,1968,2,0,1045
41,Argentina,0,0,2,2,1968,2,0,1045
42,Greece,0,0,1,1,1968,1,0,1045
42,India,0,0,1,1,1968,1,0,1045
42,Taiwan,0,0,1,1,1968,1,0,1045
1,Soviet Union,50,27,22,99,1972,226,0,1185
2,United States,33,31,30,94,1972,191,0,1185
3,East Germany,20,23,23,66,1972,129,0,1185
4,West Germany,13,11,16,40,1972,77,1,1185
5,Japan,13,8,8,29,1972,63,0,1185
6,Australia,8,7,2,17,1972,40,0,1185
7,Poland,7,5,9,21,1972,40,0,1185
8,Hungary,6,13,16,35,1972,60,0,1185
9,Bulgaria,6,10,5,21,1972,43,0,1185
10,Italy,5,3,10,18,1972,31,0,1185
11,Sweden,4,6,6,16,1972,30,0,1185
12,Great Britain,4,5,9,18,1972,31,0,1185
13,Romania,3,6,7,16,1972,28,0,1185
14,Cuba,3,1,4,8,1972,15,0,1185
14,Finland,3,1,4,8,1972,15,0,1185
16,Netherlands,3,1,1,5,1972,12,0,1185
17,France,2,4,7,13,1972,21,0,1185
18,Czechoslovakia,2,4,2,8,1972,16,0,1185
19,Kenya,2,3,4,9,1972,16,0,1185
20,Yugoslavia,2,1,2,5,1972,10,0,1185
21,Norway,2,1,1,4,1972,9,0,1185
22,North Korea,1,1,3,5,1972,8,0,1185
23,New Zealand,1,1,1,3,1972,6,0,1185
24,Uganda,1,1,0,2,1972,5,0,1185
25,Denmark,1,0,0,1,1972,3,0,1185
26,Switzerland,0,3,0,3,1972,6,0,1185
27,Canada,0,2,3,5,1972,7,0,1185
28,Iran,0,2,1,3,1972,5,0,1185
29,Belgium,0,2,0,2,1972,4,0,1185
29,Greece,0,2,0,2,1972,4,0,1185
31,Austria,0,1,2,3,1972,4,0,1185
31,Colombia,0,1,2,3,1972,4,0,1185
33,Argentina,0,1,0,1,1972,2,0,1185
33,Lebanon,0,1,0,1,1972,2,0,1185
33,Mexico,0,1,0,1,1972,2,0,1185
33,Mongolia,0,1,0,1,1972,2,0,1185
33,Pakistan,0,1,0,1,1972,2,0,1185
33,South Korea,0,1,0,1,1972,2,0,1185
33,Tunisia,0,1,0,1,1972,2,0,1185
33,Turkey,0,1,0,1,1972,2,0,1185
41,Brazil,0,0,2,2,1972,2,0,1185
41,Ethiopia,0,0,2,2,1972,2,0,1185
43,Ghana,0,0,1,1,1972,1,0,1185
43,India,0,0,1,1,1972,1,0,1185
43,Jamaica,0,0,1,1,1972,1,0,1185
43,Niger,0,0,1,1,1972,1,0,1185
43,Nigeria,0,0,1,1,1972,1,0,1185
43,Spain,0,0,1,1,1972,1,0,1185
1,Soviet Union,49,41,35,125,1976,264,0,1208
2,East Germany,40,25,25,90,1976,195,0,1208
3,United States,34,35,25,94,1976,197,0,1208
4,West Germany,10,12,17,39,1976,71,0,1208
5,Japan,9,6,10,25,1976,49,0,1208
6,Poland,7,6,13,26,1976,46,0,1208
7,Bulgaria,6,9,7,22,1976,43,0,1208
8,Cuba,6,4,3,13,1976,29,0,1208
9,Romania,4,9,14,27,1976,44,0,1208
10,Hungary,4,5,13,22,1976,35,0,1208
11,Finland,4,2,0,6,1976,16,0,1208
12,Sweden,4,1,0,5,1976,14,0,1208
13,Great Britain,3,5,5,13,1976,24,0,1208
14,Italy,2,7,4,13,1976,24,0,1208
15,France,2,3,4,9,1976,16,0,1208
16,Yugoslavia,2,3,3,8,1976,15,0,1208
17,Czechoslovakia,2,2,4,8,1976,14,0,1208
18,New Zealand,2,1,1,4,1976,9,0,1208
19,South Korea,1,1,4,6,1976,9,0,1208
20,Switzerland,1,1,2,4,1976,7,0,1208
21,Jamaica,1,1,0,2,1976,5,0,1208
21,North Korea,1,1,0,2,1976,5,0,1208
21,Norway,1,1,0,2,1976,5,0,1208
24,Denmark,1,0,2,3,1976,5,0,1208
25,Mexico,1,0,1,2,1976,4,0,1208
26,Trinidad and Tobago,1,0,0,1,1976,3,0,1208
27,Canada,0,5,6,11,1976,16,1,1208
28,Belgium,0,3,3,6,1976,9,0,1208
29,Netherlands,0,2,3,5,1976,7,0,1208
30,Portugal,0,2,0,2,1976,4,0,1208
30,Spain,0,2,0,2,1976,4,0,1208
32,Australia,0,1,4,5,1976,6,0,1208
33,Iran,0,1,1,2,1976,3,0,1208
34,Mongolia,0,1,0,1,1976,2,0,1208
34,Venezuela,0,1,0,1,1976,2,0,1208
36,Brazil,0,0,2,2,1976,2,0,1208
37,Austria,0,0,1,1,1976,1,0,1208
37,Bermuda,0,0,1,1,1976,1,0,1208
37,Pakistan,0,0,1,1,1976,1,0,1208
37,Puerto Rico,0,0,1,1,1976,1,0,1208
37,Thailand,0,0,1,1,1976,1,0,1208
1,Soviet Union,80,69,46,195,1980,424,1,1243
2,East Germany,47,37,42,126,1980,257,0,1243
3,Bulgaria,8,16,17,41,1980,73,0,1243
4,Cuba,8,7,5,20,1980,43,0,1243
5,Italy,8,3,4,15,1980,34,0,1243
6,Hungary,7,10,15,32,1980,56,0,1243
7,Romania,6,6,13,25,1980,43,0,1243
8,France,6,5,3,14,1980,31,0,1243
9,Great Britain,5,7,9,21,1980,38,0,1243
10,Poland,3,14,15,32,1980,52,0,1243
11,Sweden,3,3,6,12,1980,21,0,1243
12,Finland,3,1,4,8,1980,15,0,1243
13,Czechoslovakia,2,3,9,14,1980,21,0,1243
