Year,Total_Score,Rolling_Mean,Rolling_Std,Threshold,Performance_Spike,NOC,Sport
1972,0,,0.0,,False,ALB,Weightlifting
1992,0,0.0,0.0,0.0,False,ALB,Weightlifting
1996,0,0.0,0.0,0.0,False,ALB,Weightlifting
2000,0,0.0,0.0,0.0,False,ALB,Weightlifting
2004,0,0.0,0.0,0.0,False,ALB,Weightlifting
2008,0,0.0,0.0,0.0,False,ALB,Weightlifting
2012,0,0.0,0.0,0.0,False,ALB,Weightlifting
2016,0,0.0,0.0,0.0,False,ALB,Weightlifting
2020,0,0.0,0.0,0.0,False,ALB,Weightlifting
1996,0,,0.0,,False,ALB,Wrestling
2004,0,0.0,0.0,0.0,False,ALB,Wrestling
2008,0,0.0,0.0,0.0,False,ALB,Wrestling
2024,2,0.5,1.0,2.0,False,ALB,Wrestling
1972,0,,0.0,,False,ALG,Athletics
1980,0,0.0,0.0,0.0,False,ALG,Athletics
1984,0,0.0,0.0,0.0,False,ALG,Athletics
1988,0,0.0,0.0,0.0,False,ALG,Athletics
1992,3,0.6,1.3416407864998738,2.6124611797498107,True,ALG,Athletics
1996,3,1.2,1.6431676725154982,3.6647515087732474,False,ALG,Athletics
2000,7,2.6,2.8809720581775866,6.92145808726638,True,ALG,Athletics
2004,0,2.6,2.8809720581775866,6.92145808726638,False,ALG,Athletics
2008,0,2.6,2.8809720581775866,6.92145808726638,False,ALG,Athletics
2012,3,2.6,2.8809720581775866,6.92145808726638,False,ALG,Athletics
2016,4,2.8,2.949576240750525,7.2243643611257875,False,ALG,Athletics
2020,0,1.4,1.9493588689617924,4.324038303442689,False,ALG,Athletics
2024,1,1.6,1.8165902124584947,4.324885318687742,False,ALG,Athletics
2008,0,,0.0,,False,ALG,Badminton
2024,0,0.0,0.0,0.0,False,ALG,Badminton
1968,0,,0.0,,False,ALG,Boxing
1972,0,0.0,0.0,0.0,False,ALG,Boxing
1980,0,0.0,0.0,0.0,False,ALG,Boxing
1984,2,0.5,1.0,2.0,False,ALG,Boxing
1988,0,0.4,0.8944271909999159,1.741640786499874,False,ALG,Boxing
1992,1,0.6,0.8944271909999159,1.9416407864998737,False,ALG,Boxing
1996,4,1.4,1.6733200530681511,3.9099800796022266,True,ALG,Boxing
2000,1,1.6,1.5165750888103102,3.8748626332154656,False,ALG,Boxing
2004,0,1.2,1.6431676725154984,3.6647515087732474,False,ALG,Boxing
2008,0,1.2,1.6431676725154984,3.6647515087732474,False,ALG,Boxing
2012,0,1.0,1.7320508075688772,3.598076211353316,False,ALG,Boxing
2016,0,0.2,0.4472135954999579,0.870820393249937,False,ALG,Boxing
2020,0,0.0,0.0,0.0,False,ALG,Boxing
2024,3,0.6,1.3416407864998738,2.6124611797498107,True,ALG,Boxing
1988,0,,0.0,,False,ALG,Cycling
2008,0,0.0,0.0,0.0,False,ALG,Cycling
2012,0,0.0,0.0,0.0,False,ALG,Cycling
2016,0,0.0,0.0,0.0,False,ALG,Cycling
2020,0,,0.0,,False,ALG,Cycling Road
2024,0,0.0,0.0,0.0,False,ALG,Cycling Road
1980,0,,0.0,,False,ALG,Fencing
1996,0,0.0,0.0,0.0,False,ALG,Fencing
2000,0,0.0,0.0,0.0,False,ALG,Fencing
2004,0,0.0,0.0,0.0,False,ALG,Fencing
2008,0,0.0,0.0,0.0,False,ALG,Fencing
2012,0,0.0,0.0,0.0,False,ALG,Fencing
2016,0,0.0,0.0,0.0,False,ALG,Fencing
2020,0,0.0,0.0,0.0,False,ALG,Fencing
2024,0,0.0,0.0,0.0,False,ALG,Fencing
1980,0,,0.0,,False,ALG,Football
2016,0,0.0,0.0,0.0,False,ALG,Football
1964,0,,0.0,,False,ALG,Gymnastics
1968,0,0.0,0.0,0.0,False,ALG,Gymnastics
2016,0,0.0,0.0,0.0,False,ALG,Gymnastics
1980,0,,0.0,,False,ALG,Handball
1984,0,0.0,0.0,0.0,False,ALG,Handball
1988,0,0.0,0.0,0.0,False,ALG,Handball
1996,0,0.0,0.0,0.0,False,ALG,Handball
1980,0,,0.0,,False,ALG,Judo
1988,0,0.0,0.0,0.0,False,ALG,Judo
1992,0,0.0,0.0,0.0,False,ALG,Judo
1996,0,0.0,0.0,0.0,False,ALG,Judo
2000,0,0.0,0.0,0.0,False,ALG,Judo
2004,0,0.0,0.0,0.0,False,ALG,Judo
2008,3,0.6,1.3416407864998738,2.6124611797498107,True,ALG,Judo
2012,0,0.6,1.3416407864998738,2.6124611797498107,False,ALG,Judo
2016,0,0.6,1.3416407864998738,2.6124611797498107,False,ALG,Judo
2020,0,0.6,1.3416407864998738,2.6124611797498107,False,ALG,Judo
2024,0,0.6,1.3416407864998738,2.6124611797498107,False,ALG,Judo
1996,0,,0.0,,False,ALG,Rowing
2000,0,0.0,0.0,0.0,False,ALG,Rowing
2004,0,0.0,0.0,0.0,False,ALG,Rowing
2008,0,0.0,0.0,0.0,False,ALG,Rowing
2012,0,0.0,0.0,0.0,False,ALG,Rowing
2016,0,0.0,0.0,0.0,False,ALG,Rowing
2020,0,0.0,0.0,0.0,False,ALG,Rowing
2024,0,0.0,0.0,0.0,False,ALG,Rowing
2016,0,,0.0,,False,ALG,Sailing
2020,0,0.0,0.0,0.0,False,ALG,Sailing
2024,0,0.0,0.0,0.0,False,ALG,Sailing
2012,0,,0.0,,False,ALG,Shooting
2016,0,0.0,0.0,0.0,False,ALG,Shooting
2020,0,0.0,0.0,0.0,False,ALG,Shooting
2024,0,0.0,0.0,0.0,False,ALG,Shooting
1980,0,,0.0,,False,ALG,Swimming
1992,0,0.0,0.0,0.0,False,ALG,Swimming
1996,0,0.0,0.0,0.0,False,ALG,Swimming
2000,0,0.0,0.0,0.0,False,ALG,Swimming
2004,0,0.0,0.0,0.0,False,ALG,Swimming
2008,0,0.0,0.0,0.0,False,ALG,Swimming
2012,0,0.0,0.0,0.0,False,ALG,Swimming
2016,0,0.0,0.0,0.0,False,ALG,Swimming
2020,0,0.0,0.0,0.0,False,ALG,Swimming
2024,0,0.0,0.0,0.0,False,ALG,Swimming
2000,0,,0.0,,False,ALG,Table Tennis
2004,0,0.0,0.0,0.0,False,ALG,Table Tennis
2008,0,0.0,0.0,0.0,False,ALG,Table Tennis
2020,0,0.0,0.0,0.0,False,ALG,Table Tennis
2024,0,0.0,0.0,0.0,False,ALG,Table Tennis
1988,0,,0.0,,False,ALG,Tennis
2004,0,0.0,0.0,0.0,False,ALG,Tennis
1992,0,,0.0,,False,ALG,Volleyball
2008,0,0.0,0.0,0.0,False,ALG,Volleyball
2012,0,0.0,0.0,0.0,False,ALG,Volleyball
1980,0,,0.0,,False,ALG,Weightlifting
1984,0,0.0,0.0,0.0,False,ALG,Weightlifting
1988,0,0.0,0.0,0.0,False,ALG,Weightlifting
1992,0,0.0,0.0,0.0,False,ALG,Weightlifting
1996,0,0.0,0.0,0.0,False,ALG,Weightlifting
2000,0,0.0,0.0,0.0,False,ALG,Weightlifting
2004,0,0.0,0.0,0.0,False,ALG,Weightlifting
2008,0,0.0,0.0,0.0,False,ALG,Weightlifting
2012,0,0.0,0.0,0.0,False,ALG,Weightlifting
2016,0,0.0,0.0,0.0,False,ALG,Weightlifting
2020,0,0.0,0.0,0.0,False,ALG,Weightlifting
2024,0,0.0,0.0,0.0,False,ALG,Weightlifting
1980,0,,0.0,,False,ALG,Wrestling
1992,0,0.0,0.0,0.0,False,ALG,Wrestling
1996,0,0.0,0.0,0.0,False,ALG,Wrestling
2000,0,0.0,0.0,0.0,False,ALG,Wrestling
2004,0,0.0,0.0,0.0,False,ALG,Wrestling
2008,0,0.0,0.0,0.0,False,ALG,Wrestling
2012,0,0.0,0.0,0.0,False,ALG,Wrestling
2016,0,0.0,0.0,0.0,False,ALG,Wrestling
2020,0,0.0,0.0,0.0,False,ALG,Wrestling
2024,0,0.0,0.0,0.0,False,ALG,Wrestling
1988,0,,0.0,,False,AND,Athletics
1992,0,0.0,0.0,0.0,False,AND,Athletics
1996,0,0.0,0.0,0.0,False,AND,Athletics
2000,0,0.0,0.0,0.0,False,AND,Athletics
2004,0,0.0,0.0,0.0,False,AND,Athletics
2008,0,0.0,0.0,0.0,False,AND,Athletics
2012,0,0.0,0.0,0.0,False,AND,Athletics
2016,0,0.0,0.0,0.0,False,AND,Athletics
2020,0,0.0,0.0,0.0,False,AND,Athletics
2024,0,0.0,0.0,0.0,False,AND,Athletics
2020,0,,0.0,,False,AND,Canoe Slalom
2024,0,0.0,0.0,0.0,False,AND,Canoe Slalom
1988,0,,0.0,,False,AND,Cycling
1992,0,0.0,0.0,0.0,False,AND,Cycling
1992,0,,0.0,,False,AND,Judo
1996,0,0.0,0.0,0.0,False,AND,Judo
2004,0,0.0,0.0,0.0,False,AND,Judo
2008,0,0.0,0.0,0.0,False,AND,Judo
2012,0,0.0,0.0,0.0,False,AND,Judo
2016,0,0.0,0.0,0.0,False,AND,Judo
1992,0,,0.0,,False,AND,Sailing
1996,0,0.0,0.0,0.0,False,AND,Sailing
1976,0,,0.0,,False,AND,Shooting
1980,0,0.0,0.0,0.0,False,AND,Shooting
1984,0,0.0,0.0,0.0,False,AND,Shooting
1992,0,0.0,0.0,0.0,False,AND,Shooting
1996,0,0.0,0.0,0.0,False,AND,Shooting
2000,0,0.0,0.0,0.0,False,AND,Shooting
2004,0,0.0,0.0,0.0,False,AND,Shooting
2012,0,0.0,0.0,0.0,False,AND,Shooting
2016,0,0.0,0.0,0.0,False,AND,Shooting
1996,0,,0.0,,False,AND,Swimming
2000,0,0.0,0.0,0.0,False,AND,Swimming
2004,0,0.0,0.0,0.0,False,AND,Swimming
2008,0,0.0,0.0,0.0,False,AND,Swimming
2012,0,0.0,0.0,0.0,False,AND,Swimming
2016,0,0.0,0.0,0.0,False,AND,Swimming
1980,0,,0.0,,False,ANG,Athletics
1988,0,0.0,0.0,0.0,False,ANG,Athletics
1992,0,0.0,0.0,0.0,False,ANG,Athletics
1996,0,0.0,0.0,0.0,False,ANG,Athletics
2000,0,0.0,0.0,0.0,False,ANG,Athletics
2004,0,0.0,0.0,0.0,False,ANG,Athletics
2008,0,0.0,0.0,0.0,False,ANG,Athletics
2012,0,0.0,0.0,0.0,False,ANG,Athletics
2016,0,0.0,0.0,0.0,False,ANG,Athletics
2020,0,0.0,0.0,0.0,False,ANG,Athletics
2024,0,0.0,0.0,0.0,False,ANG,Athletics
1992,0,,0.0,,False,ANG,Basketball
1996,0,0.0,0.0,0.0,False,ANG,Basketball
2000,0,0.0,0.0,0.0,False,ANG,Basketball
2004,0,0.0,0.0,0.0,False,ANG,Basketball
2008,0,0.0,0.0,0.0,False,ANG,Basketball
2012,0,0.0,0.0,0.0,False,ANG,Basketball
1980,0,,0.0,,False,ANG,Boxing
1988,0,0.0,0.0,0.0,False,ANG,Boxing
1992,0,0.0,0.0,0.0,False,ANG,Boxing
2008,0,,0.0,,False,ANG,Canoeing
2012,0,0.0,0.0,0.0,False,ANG,Canoeing
1996,0,,0.0,,False,ANG,Handball
2000,0,0.0,0.0,0.0,False,ANG,Handball
2004,0,0.0,0.0,0.0,False,ANG,Handball
2008,0,0.0,0.0,0.0,False,ANG,Handball
2012,0,0.0,0.0,0.0,False,ANG,Handball
2016,0,0.0,0.0,0.0,False,ANG,Handball
2020,0,0.0,0.0,0.0,False,ANG,Handball
2024,0,0.0,0.0,0.0,False,ANG,Handball
1988,0,,0.0,,False,ANG,Judo
1992,0,0.0,0.0,0.0,False,ANG,Judo
2004,0,0.0,0.0,0.0,False,ANG,Judo
2012,0,0.0,0.0,0.0,False,ANG,Judo
2016,0,0.0,0.0,0.0,False,ANG,Judo
2020,0,0.0,0.0,0.0,False,ANG,Judo
2024,0,0.0,0.0,0.0,False,ANG,Judo
2016,0,,0.0,,False,ANG,Rowing
2024,0,0.0,0.0,0.0,False,ANG,Rowing
1992,0,,0.0,,False,ANG,Sailing
2016,0,0.0,0.0,0.0,False,ANG,Sailing
2020,0,0.0,0.0,0.0,False,ANG,Sailing
2024,0,0.0,0.0,0.0,False,ANG,Sailing
1996,0,,0.0,,False,ANG,Shooting
2000,0,0.0,0.0,0.0,False,ANG,Shooting
2016,0,0.0,0.0,0.0,False,ANG,Shooting
1980,0,,0.0,,False,ANG,Swimming
1988,0,0.0,0.0,0.0,False,ANG,Swimming
1992,0,0.0,0.0,0.0,False,ANG,Swimming
1996,0,0.0,0.0,0.0,False,ANG,Swimming
2000,0,0.0,0.0,0.0,False,ANG,Swimming
2004,0,0.0,0.0,0.0,False,ANG,Swimming
2008,0,0.0,0.0,0.0,False,ANG,Swimming
2012,0,0.0,0.0,0.0,False,ANG,Swimming
2016,0,0.0,0.0,0.0,False,ANG,Swimming
2020,0,0.0,0.0,0.0,False,ANG,Swimming
2024,0,0.0,0.0,0.0,False,ANG,Swimming
1976,0,,0.0,,False,ANT,Athletics
1984,0,0.0,0.0,0.0,False,ANT,Athletics
1988,0,0.0,0.0,0.0,False,ANT,Athletics
1992,0,0.0,0.0,0.0,False,ANT,Athletics
1996,0,0.0,0.0,0.0,False,ANT,Athletics
2000,0,0.0,0.0,0.0,False,ANT,Athletics
2004,0,0.0,0.0,0.0,False,ANT,Athletics
2008,0,0.0,0.0,0.0,False,ANT,Athletics
2012,0,0.0,0.0,0.0,False,ANT,Athletics
2016,0,0.0,0.0,0.0,False,ANT,Athletics
2020,0,0.0,0.0,0.0,False,ANT,Athletics
2024,0,0.0,0.0,0.0,False,ANT,Athletics
1988,0,,0.0,,False,ANT,Boxing
2020,0,0.0,0.0,0.0,False,ANT,Boxing
1976,0,,0.0,,False,ANT,Cycling
1984,0,0.0,0.0,0.0,False,ANT,Cycling
1988,0,0.0,0.0,0.0,False,ANT,Cycling
1992,0,0.0,0.0,0.0,False,ANT,Cycling
1996,0,0.0,0.0,0.0,False,ANT,Cycling
1984,0,,0.0,,False,ANT,Sailing
1988,0,0.0,0.0,0.0,False,ANT,Sailing
1992,0,0.0,0.0,0.0,False,ANT,Sailing
1996,0,0.0,0.0,0.0,False,ANT,Sailing
2000,0,0.0,0.0,0.0,False,ANT,Sailing
2020,0,0.0,0.0,0.0,False,ANT,Sailing
2024,0,0.0,0.0,0.0,False,ANT,Sailing
2004,0,,0.0,,False,ANT,Swimming
2008,0,0.0,0.0,0.0,False,ANT,Swimming
2012,0,0.0,0.0,0.0,False,ANT,Swimming
2016,0,0.0,0.0,0.0,False,ANT,Swimming
2020,0,0.0,0.0,0.0,False,ANT,Swimming
2024,0,0.0,0.0,0.0,False,ANT,Swimming
1908,1,,0.0,,False,ANZ,Athletics
1912,0,0.5,0.7071067811865476,1.5606601717798214,False,ANZ,Athletics
1908,3,,0.0,,False,ANZ,Swimming
1912,21,12.0,12.727922061357855,31.09188309203678,True,ANZ,Swimming
1988,0,,0.0,,False,ARG,Archery
2024,0,0.0,0.0,0.0,False,ARG,Archery
1924,2,,0.0,,False,ARG,Athletics
1928,0,1.0,1.4142135623730951,3.121320343559643,False,ARG,Athletics
1932,3,1.6666666666666667,1.5275252316519468,3.9579545141445873,False,ARG,Athletics
1936,0,1.25,1.5,3.5,False,ARG,Athletics
1948,5,2.0,2.1213203435596424,5.181980515339464,False,ARG,Athletics
1952,2,2.0,2.1213203435596424,5.181980515339464,False,ARG,Athletics
1956,0,2.0,2.1213203435596424,5.181980515339464,False,ARG,Athletics
1960,0,1.4,2.1908902300206643,4.686335345030996,False,ARG,Athletics
1964,0,1.4,2.1908902300206643,4.686335345030996,False,ARG,Athletics
1968,0,0.4,0.8944271909999159,1.741640786499874,False,ARG,Athletics
1972,0,0.0,0.0,0.0,False,ARG,Athletics
1976,0,0.0,0.0,0.0,False,ARG,Athletics
1984,0,0.0,0.0,0.0,False,ARG,Athletics
1988,0,0.0,0.0,0.0,False,ARG,Athletics
1992,0,0.0,0.0,0.0,False,ARG,Athletics
1996,0,0.0,0.0,0.0,False,ARG,Athletics
2000,0,0.0,0.0,0.0,False,ARG,Athletics
2004,0,0.0,0.0,0.0,False,ARG,Athletics
2008,0,0.0,0.0,0.0,False,ARG,Athletics
2012,0,0.0,0.0,0.0,False,ARG,Athletics
2016,0,0.0,0.0,0.0,False,ARG,Athletics
2020,0,0.0,0.0,0.0,False,ARG,Athletics
2024,0,0.0,0.0,0.0,False,ARG,Athletics
1948,0,,0.0,,False,ARG,Basketball
1952,0,0.0,0.0,0.0,False,ARG,Basketball
1996,0,0.0,0.0,0.0,False,ARG,Basketball
2004,36,9.0,18.0,36.0,True,ARG,Basketball
2008,12,9.6,15.646085772486357,33.06912865872953,False,ARG,Basketball
2012,0,9.6,15.646085772486357,33.06912865872953,False,ARG,Basketball
2016,0,9.6,15.646085772486357,33.06912865872953,False,ARG,Basketball
2020,0,9.6,15.646085772486357,33.06912865872953,False,ARG,Basketball
1996,0,,0.0,,False,ARG,Beach Volleyball
2000,0,0.0,0.0,0.0,False,ARG,Beach Volleyball
2004,0,0.0,0.0,0.0,False,ARG,Beach Volleyball
2008,0,0.0,0.0,0.0,False,ARG,Beach Volleyball
2012,0,0.0,0.0,0.0,False,ARG,Beach Volleyball
2016,0,0.0,0.0,0.0,False,ARG,Beach Volleyball
2020,0,0.0,0.0,0.0,False,ARG,Beach Volleyball
1920,0,,0.0,,False,ARG,Boxing
1924,6,3.0,4.242640687119285,9.363961030678928,False,ARG,Boxing
1928,10,5.333333333333333,5.033222956847166,12.883167768604082,False,ARG,Boxing
1932,8,6.0,4.320493798938574,12.48074069840786,False,ARG,Boxing
1936,7,6.2,3.7682887362833544,11.852433104425032,False,ARG,Boxing
1948,7,7.6,1.5165750888103096,9.874862633215464,False,ARG,Boxing
1952,3,7.0,2.5495097567963922,10.824264635194588,False,ARG,Boxing
1956,1,5.2,3.03315017762062,9.74972526643093,False,ARG,Boxing
1960,1,3.8,3.03315017762062,8.34972526643093,False,ARG,Boxing
1964,0,2.4,2.792848008753788,6.589272013130682,False,ARG,Boxing
1968,1,1.2,1.0954451150103317,2.8431676725154977,False,ARG,Boxing
1972,0,0.6,0.5477225575051653,1.421583836257748,False,ARG,Boxing
1976,0,0.4,0.5477225575051653,1.2215838362577478,False,ARG,Boxing
1984,0,0.2,0.447213595499957,0.8708203932499354,False,ARG,Boxing
1988,0,0.2,0.447213595499957,0.8708203932499354,False,ARG,Boxing
1992,0,0.0,0.0,0.0,False,ARG,Boxing
1996,1,0.2,0.447213595499957,0.8708203932499354,True,ARG,Boxing
2000,0,0.2,0.447213595499957,0.8708203932499354,False,ARG,Boxing
2004,0,0.2,0.447213595499957,0.8708203932499354,False,ARG,Boxing
2008,0,0.2,0.447213595499957,0.8708203932499354,False,ARG,Boxing
2012,0,0.2,0.447213595499957,0.8708203932499354,False,ARG,Boxing
2016,0,0.0,0.0,0.0,False,ARG,Boxing
2020,0,0.0,0.0,0.0,False,ARG,Boxing
2020,0,,0.0,,False,ARG,Canoe Sprint
2024,0,0.0,0.0,0.0,False,ARG,Canoe Sprint
1984,0,,0.0,,False,ARG,Canoeing
1988,0,0.0,0.0,0.0,False,ARG,Canoeing
1992,0,0.0,0.0,0.0,False,ARG,Canoeing
1996,0,0.0,0.0,0.0,False,ARG,Canoeing
2000,0,0.0,0.0,0.0,False,ARG,Canoeing
2004,0,0.0,0.0,0.0,False,ARG,Canoeing
2008,0,0.0,0.0,0.0,False,ARG,Canoeing
2012,0,0.0,0.0,0.0,False,ARG,Canoeing
2016,0,0.0,0.0,0.0,False,ARG,Canoeing
1924,0,,0.0,,False,ARG,Cycling
1928,0,0.0,0.0,0.0,False,ARG,Cycling
1948,0,0.0,0.0,0.0,False,ARG,Cycling
1952,0,0.0,0.0,0.0,False,ARG,Cycling
1960,0,0.0,0.0,0.0,False,ARG,Cycling
1964,0,0.0,0.0,0.0,False,ARG,Cycling
1968,0,0.0,0.0,0.0,False,ARG,Cycling
1972,0,0.0,0.0,0.0,False,ARG,Cycling
1976,0,0.0,0.0,0.0,False,ARG,Cycling
1984,0,0.0,0.0,0.0,False,ARG,Cycling
1988,0,0.0,0.0,0.0,False,ARG,Cycling
1992,0,0.0,0.0,0.0,False,ARG,Cycling
1996,0,0.0,0.0,0.0,False,ARG,Cycling
2000,0,0.0,0.0,0.0,False,ARG,Cycling
2004,0,0.0,0.0,0.0,False,ARG,Cycling
2008,6,1.2,2.6832815729997477,5.2249223594996215,True,ARG,Cycling
2012,0,1.2,2.6832815729997477,5.2249223594996215,False,ARG,Cycling
2016,0,1.2,2.6832815729997477,5.2249223594996215,False,ARG,Cycling
2020,0,,0.0,,False,ARG,Cycling BMX Racing
2024,0,0.0,0.0,0.0,False,ARG,Cycling BMX Racing
2020,0,,0.0,,False,ARG,Cycling Road
2024,0,0.0,0.0,0.0,False,ARG,Cycling Road
1960,0,,0.0,,False,ARG,Diving
1984,0,0.0,0.0,0.0,False,ARG,Diving
1988,0,0.0,0.0,0.0,False,ARG,Diving
1992,0,0.0,0.0,0.0,False,ARG,Diving
2000,0,0.0,0.0,0.0,False,ARG,Diving
2020,0,,0.0,,False,ARG,Equestrian
2024,0,0.0,0.0,0.0,False,ARG,Equestrian
1928,0,,0.0,,False,ARG,Equestrianism
1948,0,0.0,0.0,0.0,False,ARG,Equestrianism
1952,0,0.0,0.0,0.0,False,ARG,Equestrianism
1956,0,0.0,0.0,0.0,False,ARG,Equestrianism
1960,0,0.0,0.0,0.0,False,ARG,Equestrianism
1964,2,0.4,0.8944271909999159,1.741640786499874,True,ARG,Equestrianism
1968,0,0.4,0.8944271909999159,1.741640786499874,False,ARG,Equestrianism
1972,0,0.4,0.8944271909999159,1.741640786499874,False,ARG,Equestrianism
1976,0,0.4,0.8944271909999159,1.741640786499874,False,ARG,Equestrianism
1984,0,0.4,0.8944271909999159,1.741640786499874,False,ARG,Equestrianism
1996,0,0.0,0.0,0.0,False,ARG,Equestrianism
2000,0,0.0,0.0,0.0,False,ARG,Equestrianism
2004,0,0.0,0.0,0.0,False,ARG,Equestrianism
2008,0,0.0,0.0,0.0,False,ARG,Equestrianism
2012,0,0.0,0.0,0.0,False,ARG,Equestrianism
2016,0,0.0,0.0,0.0,False,ARG,Equestrianism
1900,0,,0.0,,False,ARG,Fencing
1924,0,0.0,0.0,0.0,False,ARG,Fencing
1928,5,1.6666666666666667,2.8867513459481287,5.99679368558886,False,ARG,Fencing
1932,0,1.25,2.5,5.0,False,ARG,Fencing
1936,0,1.0,2.2360679774997894,4.354101966249684,False,ARG,Fencing
1948,0,1.0,2.2360679774997894,4.354101966249684,False,ARG,Fencing
1952,0,1.0,2.2360679774997894,4.354101966249684,False,ARG,Fencing
1956,0,0.0,0.0,0.0,False,ARG,Fencing
1960,0,0.0,0.0,0.0,False,ARG,Fencing
1964,0,0.0,0.0,0.0,False,ARG,Fencing
1968,0,0.0,0.0,0.0,False,ARG,Fencing
1972,0,0.0,0.0,0.0,False,ARG,Fencing
