,Year,Total_Score,Rolling_Mean,Rolling_Std,Threshold,Performance_Spike,NOC,Sport,Host,Name,EventCount,PersonCount
101,2008,0,0,0,0,FALSE,ALB,Wrestling,0,2,2,2
102,2024,2,0.5,1,2,FALSE,ALB,Wrestling,0,3,3,3
103,1972,0,,0,,FALSE,ALG,Athletics,0,4,4,4
104,1980,0,0,0,0,FALSE,ALG,Athletics,0,9,7,9
105,1984,0,0,0,0,FALSE,ALG,Athletics,0,9,7,9
106,1988,0,0,0,0,FALSE,ALG,Athletics,0,12,13,12
107,1992,3,0.6,1.3416407864998738,2.6124611797498107,TRUE,ALG,Athletics,0,9,9,9
108,1996,3,1.2,1.6431676725154982,3.664751508773248,FALSE,ALG,Athletics,0,8,6,8
109,2000,7,2.6,2.8809720581775866,6.92145808726638,TRUE,ALG,Athletics,0,21,15,21
110,2004,0,2.6,2.8809720581775866,6.92145808726638,FALSE,ALG,Athletics,0,20,14,20
111,2008,0,2.6,2.8809720581775866,6.92145808726638,FALSE,ALG,Athletics,0,12,9,12
112,2012,3,2.6,2.8809720581775866,6.92145808726638,FALSE,ALG,Athletics,0,6,7,6
113,2016,4,2.8,2.949576240750525,7.2243643611257875,FALSE,ALG,Athletics,0,15,8,15
114,2020,0,1.4,1.9493588689617924,4.324038303442689,FALSE,ALG,Athletics,0,5,5,5
115,2024,1,1.6,1.8165902124584947,4.324885318687742,FALSE,ALG,Athletics,0,8,6,8
116,2008,0,,0,,FALSE,ALG,Badminton,0,1,1,1
117,2024,0,0,0,0,FALSE,ALG,Badminton,0,2,1,2
118,1968,0,,0,,FALSE,ALG,Boxing,0,2,2,2
119,1972,0,0,0,0,FALSE,ALG,Boxing,0,1,1,1
120,1980,0,0,0,0,FALSE,ALG,Boxing,0,2,2,2
121,1984,2,0.5,1,2,FALSE,ALG,Boxing,0,7,7,7
122,1988,0,0.4,0.8944271909999159,1.741640786499874,FALSE,ALG,Boxing,0,6,6,6
123,1992,1,0.6,0.8944271909999159,1.9416407864998737,FALSE,ALG,Boxing,0,8,8,8
124,1996,4,1.4,1.6733200530681511,3.9099800796022266,TRUE,ALG,Boxing,0,6,6,6
125,2000,1,1.6,1.5165750888103102,3.8748626332154656,FALSE,ALG,Boxing,0,7,7,7
126,2004,0,1.2,1.6431676725154984,3.664751508773248,FALSE,ALG,Boxing,0,7,7,7
127,2008,0,1.2,1.6431676725154984,3.664751508773248,FALSE,ALG,Boxing,0,7,7,7
128,2012,0,1,1.7320508075688772,3.598076211353316,FALSE,ALG,Boxing,0,8,8,8
129,2016,0,0.2,0.4472135954999579,0.870820393249937,FALSE,ALG,Boxing,0,8,8,8
130,2020,0,0,0,0,FALSE,ALG,Boxing,0,8,8,8
131,2024,3,0.6,1.3416407864998738,2.6124611797498107,TRUE,ALG,Boxing,0,5,5,5
132,1988,0,,0,,FALSE,ALG,Cycling,0,2,1,2
133,2008,0,0,0,0,FALSE,ALG,Cycling,0,1,1,1
134,2012,0,0,0,0,FALSE,ALG,Cycling,0,1,1,1
135,2016,0,0,0,0,FALSE,ALG,Cycling,0,2,1,2
136,2020,0,,0,,FALSE,ALG,Cycling Road,0,2,2,2
137,2024,0,0,0,0,FALSE,ALG,Cycling Road,0,2,2,2
138,1980,0,,0,,FALSE,ALG,Fencing,0,1,1,1
139,1996,0,0,0,0,FALSE,ALG,Fencing,0,2,2,2
140,2000,0,0,0,0,FALSE,ALG,Fencing,0,2,2,2
141,2004,0,0,0,0,FALSE,ALG,Fencing,0,7,6,7
142,2008,0,0,0,0,FALSE,ALG,Fencing,0,2,2,2
143,2012,0,0,0,0,FALSE,ALG,Fencing,0,2,2,2
144,2016,0,0,0,0,FALSE,ALG,Fencing,0,2,2,2
145,2020,0,0,0,0,FALSE,ALG,Fencing,0,4,4,4
146,2024,0,0,0,0,FALSE,ALG,Fencing,0,5,3,5
147,1980,0,,0,,FALSE,ALG,Football,0,14,1,14
148,2016,0,0,0,0,FALSE,ALG,Football,0,18,1,18
149,1964,0,,0,,FALSE,ALG,Gymnastics,0,1,7,1
150,1968,0,0,0,0,FALSE,ALG,Gymnastics,0,1,7,1
151,2016,0,0,0,0,FALSE,ALG,Gymnastics,0,2,10,2
152,1980,0,,0,,FALSE,ALG,Handball,0,14,1,14
153,1984,0,0,0,0,FALSE,ALG,Handball,0,15,1,15
154,1988,0,0,0,0,FALSE,ALG,Handball,0,14,1,14
155,1996,0,0,0,0,FALSE,ALG,Handball,0,16,1,16
156,1980,0,,0,,FALSE,ALG,Judo,0,3,3,3
157,1988,0,0,0,0,FALSE,ALG,Judo,0,5,5,5
158,1992,0,0,0,0,FALSE,ALG,Judo,0,3,3,3
159,1996,0,0,0,0,FALSE,ALG,Judo,0,6,6,6
160,2000,0,0,0,0,FALSE,ALG,Judo,0,7,7,7
161,2004,0,0,0,0,FALSE,ALG,Judo,0,11,11,11
162,2008,3,0.6,1.3416407864998738,2.6124611797498107,TRUE,ALG,Judo,0,10,10,10
163,2012,0,0.6,1.3416407864998738,2.6124611797498107,FALSE,ALG,Judo,0,2,2,2
164,2016,0,0.6,1.3416407864998738,2.6124611797498107,FALSE,ALG,Judo,0,5,5,5
165,2020,0,0.6,1.3416407864998738,2.6124611797498107,FALSE,ALG,Judo,0,2,2,2
166,2024,0,0.6,1.3416407864998738,2.6124611797498107,FALSE,ALG,Judo,0,3,3,3
167,1996,0,,0,,FALSE,ALG,Rowing,0,1,1,1
168,2000,0,0,0,0,FALSE,ALG,Rowing,0,2,2,2
169,2004,0,0,0,0,FALSE,ALG,Rowing,0,1,1,1
170,2008,0,0,0,0,FALSE,ALG,Rowing,0,3,2,3
171,2012,0,0,0,0,FALSE,ALG,Rowing,0,1,1,1
172,2016,0,0,0,0,FALSE,ALG,Rowing,0,2,2,2
173,2020,0,0,0,0,FALSE,ALG,Rowing,0,2,1,2
174,2024,0,0,0,0,FALSE,ALG,Rowing,0,2,2,2
175,2016,0,,0,,FALSE,ALG,Sailing,0,3,3,3
176,2020,0,0,0,0,FALSE,ALG,Sailing,0,2,2,2
177,2024,0,0,0,0,FALSE,ALG,Sailing,0,1,1,1
178,2012,0,,0,,FALSE,ALG,Shooting,0,1,1,1
179,2016,0,0,0,0,FALSE,ALG,Shooting,0,1,1,1
180,2020,0,0,0,0,FALSE,ALG,Shooting,0,1,1,1
181,2024,0,0,0,0,FALSE,ALG,Shooting,0,3,3,3
182,1980,0,,0,,FALSE,ALG,Swimming,0,5,7,5
183,1992,0,0,0,0,FALSE,ALG,Swimming,0,1,2,1
184,1996,0,0,0,0,FALSE,ALG,Swimming,0,1,3,1
185,2000,0,0,0,0,FALSE,ALG,Swimming,0,2,4,2
186,2004,0,0,0,0,FALSE,ALG,Swimming,0,6,10,6
187,2008,0,0,0,0,FALSE,ALG,Swimming,0,5,6,5
188,2012,0,0,0,0,FALSE,ALG,Swimming,0,1,1,1
189,2016,0,0,0,0,FALSE,ALG,Swimming,0,1,2,1
190,2020,0,0,0,0,FALSE,ALG,Swimming,0,2,4,2
191,2024,0,0,0,0,FALSE,ALG,Swimming,0,2,2,2
192,2000,0,,0,,FALSE,ALG,Table Tennis,0,2,1,2
193,2004,0,0,0,0,FALSE,ALG,Table Tennis,0,5,4,5
194,2008,0,0,0,0,FALSE,ALG,Table Tennis,0,1,1,1
195,2020,0,0,0,0,FALSE,ALG,Table Tennis,0,1,1,1
196,2024,0,0,0,0,FALSE,ALG,Table Tennis,0,2,2,2
197,1988,0,,0,,FALSE,ALG,Tennis,0,1,1,1
198,2004,0,0,0,0,FALSE,ALG,Tennis,0,1,1,1
199,1992,0,,0,,FALSE,ALG,Volleyball,0,10,1,10
200,2008,0,0,0,0,FALSE,ALG,Volleyball,0,10,1,10
201,2012,0,0,0,0,FALSE,ALG,Volleyball,0,11,1,11
202,1980,0,,0,,FALSE,ALG,Weightlifting,0,3,3,3
203,1984,0,0,0,0,FALSE,ALG,Weightlifting,0,2,2,2
204,1988,0,0,0,0,FALSE,ALG,Weightlifting,0,2,2,2
205,1992,0,0,0,0,FALSE,ALG,Weightlifting,0,2,2,2
206,1996,0,0,0,0,FALSE,ALG,Weightlifting,0,3,2,3
207,2000,0,0,0,0,FALSE,ALG,Weightlifting,0,1,1,1
208,2004,0,0,0,0,FALSE,ALG,Weightlifting,0,2,2,2
209,2008,0,0,0,0,FALSE,ALG,Weightlifting,0,1,1,1
210,2012,0,0,0,0,FALSE,ALG,Weightlifting,0,1,1,1
211,2016,0,0,0,0,FALSE,ALG,Weightlifting,0,2,2,2
212,2020,0,0,0,0,FALSE,ALG,Weightlifting,0,1,1,1
213,2024,0,0,0,0,FALSE,ALG,Weightlifting,0,1,1,1
214,1980,0,,0,,FALSE,ALG,Wrestling,0,3,3,3
215,1992,0,0,0,0,FALSE,ALG,Wrestling,0,2,2,2
216,1996,0,0,0,0,FALSE,ALG,Wrestling,0,2,2,2
217,2000,0,0,0,0,FALSE,ALG,Wrestling,0,2,2,2
218,2004,0,0,0,0,FALSE,ALG,Wrestling,0,1,1,1
219,2008,0,0,0,0,FALSE,ALG,Wrestling,0,3,3,3
220,2012,0,0,0,0,FALSE,ALG,Wrestling,0,3,3,3
221,2016,0,0,0,0,FALSE,ALG,Wrestling,0,3,3,3
222,2020,0,0,0,0,FALSE,ALG,Wrestling,0,8,8,8
223,2024,0,0,0,0,FALSE,ALG,Wrestling,0,8,8,8
224,1988,0,,0,,FALSE,AND,Athletics,0,1,2,1
225,1992,0,0,0,0,FALSE,AND,Athletics,0,1,1,1
226,1996,0,0,0,0,FALSE,AND,Athletics,0,1,1,1
227,2000,0,0,0,0,FALSE,AND,Athletics,0,2,2,2
228,2004,0,0,0,0,FALSE,AND,Athletics,0,2,2,2
229,2008,0,0,0,0,FALSE,AND,Athletics,0,2,2,2
230,2012,0,0,0,0,FALSE,AND,Athletics,0,2,2,2
231,2016,0,0,0,0,FALSE,AND,Athletics,0,1,1,1
232,2020,0,0,0,0,FALSE,AND,Athletics,0,1,1,1
233,2024,0,0,0,0,FALSE,AND,Athletics,0,1,1,1
234,2020,0,,0,,FALSE,AND,Canoe Slalom,0,1,2,1
235,2024,0,0,0,0,FALSE,AND,Canoe Slalom,0,1,3,1
236,1988,0,,0,,FALSE,AND,Cycling,0,2,1,2
237,1992,0,0,0,0,FALSE,AND,Cycling,0,3,1,3
238,1992,0,,0,,FALSE,AND,Judo,0,1,1,1
239,1996,0,0,0,0,FALSE,AND,Judo,0,1,1,1
240,2004,0,0,0,0,FALSE,AND,Judo,0,1,1,1
241,2008,0,0,0,0,FALSE,AND,Judo,0,1,1,1
242,2012,0,0,0,0,FALSE,AND,Judo,0,1,1,1
243,2016,0,0,0,0,FALSE,AND,Judo,0,1,1,1
244,1992,0,,0,,FALSE,AND,Sailing,0,2,1,2
245,1996,0,0,0,0,FALSE,AND,Sailing,0,3,2,3
246,1976,0,,0,,FALSE,AND,Shooting,0,2,1,2
247,1980,0,0,0,0,FALSE,AND,Shooting,0,2,1,2
248,1984,0,0,0,0,FALSE,AND,Shooting,0,2,1,2
249,1992,0,0,0,0,FALSE,AND,Shooting,0,1,1,1
250,1996,0,0,0,0,FALSE,AND,Shooting,0,1,1,1
251,2000,0,0,0,0,FALSE,AND,Shooting,0,1,1,1
252,2004,0,0,0,0,FALSE,AND,Shooting,0,1,1,1
253,2012,0,0,0,0,FALSE,AND,Shooting,0,1,1,1
254,2016,0,0,0,0,FALSE,AND,Shooting,0,1,1,1
255,1996,0,,0,,FALSE,AND,Swimming,0,2,2,2
256,2000,0,0,0,0,FALSE,AND,Swimming,0,2,2,2
257,2004,0,0,0,0,FALSE,AND,Swimming,0,2,2,2
258,2008,0,0,0,0,FALSE,AND,Swimming,0,1,1,1
259,2012,0,0,0,0,FALSE,AND,Swimming,0,2,2,2
260,2016,0,0,0,0,FALSE,AND,Swimming,0,1,1,1
261,1980,0,,0,,FALSE,ANG,Athletics,0,3,3,3
262,1988,0,0,0,0,FALSE,ANG,Athletics,0,6,8,6
263,1992,0,0,0,0,FALSE,ANG,Athletics,0,5,7,5
264,1996,0,0,0,0,FALSE,ANG,Athletics,0,2,3,2
265,2000,0,0,0,0,FALSE,ANG,Athletics,0,2,2,2
266,2004,0,0,0,0,FALSE,ANG,Athletics,0,1,1,1
267,2008,0,0,0,0,FALSE,ANG,Athletics,0,1,1,1
268,2012,0,0,0,0,FALSE,ANG,Athletics,0,2,2,2
269,2016,0,0,0,0,FALSE,ANG,Athletics,0,2,2,2
270,2020,0,0,0,0,FALSE,ANG,Athletics,0,1,1,1
271,2024,0,0,0,0,FALSE,ANG,Athletics,0,1,1,1
272,1992,0,,0,,FALSE,ANG,Basketball,0,12,1,12
273,1996,0,0,0,0,FALSE,ANG,Basketball,0,11,1,11
274,2000,0,0,0,0,FALSE,ANG,Basketball,0,12,1,12
275,2004,0,0,0,0,FALSE,ANG,Basketball,0,12,1,12
276,2008,0,0,0,0,FALSE,ANG,Basketball,0,12,1,12
277,2012,0,0,0,0,FALSE,ANG,Basketball,0,12,1,12
278,1980,0,,0,,FALSE,ANG,Boxing,0,3,3,3
279,1988,0,0,0,0,FALSE,ANG,Boxing,0,3,3,3
280,1992,0,0,0,0,FALSE,ANG,Boxing,0,1,1,1
281,2008,0,,0,,FALSE,ANG,Canoeing,0,1,2,1
282,2012,0,0,0,0,FALSE,ANG,Canoeing,0,2,3,2
283,1996,0,,0,,FALSE,ANG,Handball,0,13,1,13
284,2000,0,0,0,0,FALSE,ANG,Handball,0,13,1,13
285,2004,0,0,0,0,FALSE,ANG,Handball,0,15,1,15
286,2008,0,0,0,0,FALSE,ANG,Handball,0,14,1,14
287,2012,0,0,0,0,FALSE,ANG,Handball,0,14,1,14
288,2016,0,0,0,0,FALSE,ANG,Handball,0,15,1,15
289,2020,0,0,0,0,FALSE,ANG,Handball,0,14,1,14
290,2024,0,0,0,0,FALSE,ANG,Handball,0,15,1,15
291,1988,0,,0,,FALSE,ANG,Judo,0,7,7,7
292,1992,0,0,0,0,FALSE,ANG,Judo,0,4,4,4
293,2004,0,0,0,0,FALSE,ANG,Judo,0,1,1,1
294,2012,0,0,0,0,FALSE,ANG,Judo,0,1,1,1
295,2016,0,0,0,0,FALSE,ANG,Judo,0,1,1,1
296,2020,0,0,0,0,FALSE,ANG,Judo,0,1,1,1
297,2024,0,0,0,0,FALSE,ANG,Judo,0,1,1,1
298,2016,0,,0,,FALSE,ANG,Rowing,0,2,1,2
299,2024,0,0,0,0,FALSE,ANG,Rowing,0,1,1,1
300,1992,0,,0,,FALSE,ANG,Sailing,0,3,2,3
301,2016,0,0,0,0,FALSE,ANG,Sailing,0,3,2,3
302,2020,0,0,0,0,FALSE,ANG,Sailing,0,2,1,2
303,2024,0,0,0,0,FALSE,ANG,Sailing,0,3,2,3
304,1996,0,,0,,FALSE,ANG,Shooting,0,1,1,1
305,2000,0,0,0,0,FALSE,ANG,Shooting,0,1,1,1
306,2016,0,0,0,0,FALSE,ANG,Shooting,0,1,1,1
307,1980,0,,0,,FALSE,ANG,Swimming,0,5,8,5
308,1988,0,0,0,0,FALSE,ANG,Swimming,0,8,9,8
309,1992,0,0,0,0,FALSE,ANG,Swimming,0,3,6,3
310,1996,0,0,0,0,FALSE,ANG,Swimming,0,1,2,1
311,2000,0,0,0,0,FALSE,ANG,Swimming,0,2,2,2
312,2004,0,0,0,0,FALSE,ANG,Swimming,0,1,1,1
313,2008,0,0,0,0,FALSE,ANG,Swimming,0,2,2,2
314,2012,0,0,0,0,FALSE,ANG,Swimming,0,2,2,2
315,2016,0,0,0,0,FALSE,ANG,Swimming,0,2,2,2
316,2020,0,0,0,0,FALSE,ANG,Swimming,0,2,2,2
317,2024,0,0,0,0,FALSE,ANG,Swimming,0,2,2,2
318,1976,0,,0,,FALSE,ANT,Athletics,0,8,8,8
319,1984,0,0,0,0,FALSE,ANT,Athletics,0,10,13,10
320,1988,0,0,0,0,FALSE,ANT,Athletics,0,10,13,10
321,1992,0,0,0,0,FALSE,ANT,Athletics,0,5,7,5
322,1996,0,0,0,0,FALSE,ANT,Athletics,0,8,5,8
323,2000,0,0,0,0,FALSE,ANT,Athletics,0,2,3,2
324,2004,0,0,0,0,FALSE,ANT,Athletics,0,3,3,3
325,2008,0,0,0,0,FALSE,ANT,Athletics,0,4,4,4
326,2012,0,0,0,0,FALSE,ANT,Athletics,0,3,3,3
327,2016,0,0,0,0,FALSE,ANT,Athletics,0,6,3,6
328,2020,0,0,0,0,FALSE,ANT,Athletics,0,2,2,2
329,2024,0,0,0,0,FALSE,ANT,Athletics,0,2,2,2
330,1988,0,,0,,FALSE,ANT,Boxing,0,2,2,2
331,2020,0,0,0,0,FALSE,ANT,Boxing,0,1,1,1
332,1976,0,,0,,FALSE,ANT,Cycling,0,2,3,2
333,1984,0,0,0,0,FALSE,ANT,Cycling,0,3,3,3
334,1988,0,0,0,0,FALSE,ANT,Cycling,0,2,3,2
335,1992,0,0,0,0,FALSE,ANT,Cycling,0,3,4,3
336,1996,0,0,0,0,FALSE,ANT,Cycling,0,1,1,1
337,1984,0,,0,,FALSE,ANT,Sailing,0,1,1,1
338,1988,0,0,0,0,FALSE,ANT,Sailing,0,1,1,1
339,1992,0,0,0,0,FALSE,ANT,Sailing,0,5,4,5
340,1996,0,0,0,0,FALSE,ANT,Sailing,0,1,1,1
341,2000,0,0,0,0,FALSE,ANT,Sailing,0,1,1,1
342,2020,0,0,0,0,FALSE,ANT,Sailing,0,1,1,1
343,2024,0,0,0,0,FALSE,ANT,Sailing,0,1,1,1
344,2004,0,,0,,FALSE,ANT,Swimming,0,2,2,2
345,2008,0,0,0,0,FALSE,ANT,Swimming,0,1,1,1
346,2012,0,0,0,0,FALSE,ANT,Swimming,0,1,1,1
347,2016,0,0,0,0,FALSE,ANT,Swimming,0,2,2,2
348,2020,0,0,0,0,FALSE,ANT,Swimming,0,2,2,2
349,2024,0,0,0,0,FALSE,ANT,Swimming,0,2,2,2
350,1908,1,,0,,FALSE,ANZ,Athletics,0,9,9,9
351,1912,0,0.5,0.7071067811865476,1.5606601717798214,FALSE,ANZ,Athletics,0,5,7,5
352,1908,3,,0,,FALSE,ANZ,Swimming,0,5,5,5
353,1912,21,12,12.727922061357855,31.09188309203678,TRUE,ANZ,Swimming,0,9,7,9
354,1988,0,,0,,FALSE,ARG,Archery,0,2,1,2
355,2024,0,0,0,0,FALSE,ARG,Archery,0,1,1,1
356,1924,2,,0,,FALSE,ARG,Athletics,0,10,8,10
357,1928,0,1,1.4142135623730951,3.121320343559643,FALSE,ARG,Athletics,0,7,7,7
358,1932,3,1.6666666666666667,1.5275252316519468,3.9579545141445873,FALSE,ARG,Athletics,0,11,12,11
359,1936,0,1.25,1.5,3.5,FALSE,ARG,Athletics,0,8,9,8
360,1948,5,2,2.1213203435596424,5.181980515339464,FALSE,ARG,Athletics,0,24,23,24
361,1952,2,2,2.1213203435596424,5.181980515339464,FALSE,ARG,Athletics,0,16,13,16
362,1956,0,2,2.1213203435596424,5.181980515339464,FALSE,ARG,Athletics,0,2,2,2
363,1960,0,1.4,2.1908902300206643,4.686335345030996,FALSE,ARG,Athletics,0,4,2,4
364,1964,0,1.4,2.1908902300206643,4.686335345030996,FALSE,ARG,Athletics,0,6,8,6
365,1968,0,0.4,0.8944271909999159,1.741640786499874,FALSE,ARG,Athletics,0,6,9,6
366,1972,0,0,0,0,FALSE,ARG,Athletics,0,9,8,9
367,1976,0,0,0,0,FALSE,ARG,Athletics,0,2,2,2
368,1984,0,0,0,0,FALSE,ARG,Athletics,0,7,9,7
369,1988,0,0,0,0,FALSE,ARG,Athletics,0,2,2,2
370,1992,0,0,0,0,FALSE,ARG,Athletics,0,4,4,4
371,1996,0,0,0,0,FALSE,ARG,Athletics,0,8,9,8
372,2000,0,0,0,0,FALSE,ARG,Athletics,0,11,11,11
373,2004,0,0,0,0,FALSE,ARG,Athletics,0,8,8,8
374,2008,0,0,0,0,FALSE,ARG,Athletics,0,11,11,11
375,2012,0,0,0,0,FALSE,ARG,Athletics,0,9,10,9
376,2016,0,0,0,0,FALSE,ARG,Athletics,0,13,9,13
377,2020,0,0,0,0,FALSE,ARG,Athletics,0,5,4,5
378,2024,0,0,0,0,FALSE,ARG,Athletics,0,6,5,6
379,1948,0,,0,,FALSE,ARG,Basketball,0,14,1,14
380,1952,0,0,0,0,FALSE,ARG,Basketball,0,14,1,14
381,1996,0,0,0,0,FALSE,ARG,Basketball,0,12,1,12
382,2004,36,9,18,36,TRUE,ARG,Basketball,0,12,1,12
